dataset,kind,variant,mode,target,n,rmse,mae,r2,y_mean,y_std
same_scale_1m,final_test,best_drop_ref16,none,wikipedia_en,256,0.4278950450126032,0.35417940131350906,0.3866644565259,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,best_drop_ref16,none,dm_mathematics,256,0.3618299814784468,0.27173723429437574,0.9443196872787893,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,best_drop_ref16,none,github,256,0.3546410687862144,0.2731063145311579,0.8518193568455504,5.073727259412408,0.923088162832395
same_scale_1m,final_test,best_drop_ref16,none,stackexchange,256,0.28531422240532994,0.21207792082321758,0.8153917258534678,5.119640211574733,0.665346278903753
same_scale_1m,final_test,best_drop_ref16,none,gutenberg_pg_19,256,0.3698799053840364,0.3031040903218164,0.32032290777969474,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,best_drop_ref16,none,pile_cc,256,0.21727032835457874,0.17280635505382502,0.5404255326766407,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,best_drop_ref16,none,ubuntu_irc,256,0.3599375112016602,0.2654743346819388,0.8697729083681639,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,best_drop_ref16,none,hackernews,256,0.29061333635779596,0.2447558163753932,0.25321230173231946,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,best_drop_ref16,none,pubmed_abstracts,256,0.4087979237146753,0.32403314674148215,0.4861964642292901,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,best_drop_ref16,none,uspto_backgrounds,256,0.4068425482480945,0.34346922283250814,0.3638371936749234,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,best_drop_ref16,none,__composite_equal_v__,256,0.11764688436682216,0.09855327793026572,0.8205177090907121,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,ridge_entropy,entropy,arxiv,256,0.5685190269178069,0.4658135870527376,0.46817389417996225,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,ridge_entropy,entropy,freelaw,256,0.48084633953227535,0.4180843478922449,0.5743248005738473,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,ridge_entropy,entropy,pubmed_central,256,0.5342964345671596,0.4624083134068064,0.5917121092667829,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,ridge_entropy,entropy,wikipedia_en,256,0.2956941520660187,0.24661422282075984,0.7071069344419441,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,ridge_entropy,entropy,dm_mathematics,256,1.160527106259389,1.0544981044471506,0.42719982340956586,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,ridge_entropy,entropy,github,256,0.617178555074059,0.5091427526872707,0.5512183656053085,5.073727259412408,0.923088162832395
same_scale_1m,final_test,ridge_entropy,entropy,stackexchange,256,0.4446233135049107,0.3697212076673671,0.5516793100515348,5.119640211574733,0.665346278903753
same_scale_1m,final_test,ridge_entropy,entropy,gutenberg_pg_19,256,0.2564421635714397,0.19982995208286608,0.6732918099697248,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,ridge_entropy,entropy,pile_cc,256,0.15393414918196394,0.12480061312644758,0.7693120007973039,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,ridge_entropy,entropy,ubuntu_irc,256,0.6506697561520429,0.5678244906839336,0.5744325880799332,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,ridge_entropy,entropy,hackernews,256,0.19159426208124938,0.15746552163951863,0.6754130375828826,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,ridge_entropy,entropy,pubmed_abstracts,256,0.26282837823057864,0.2037883699954206,0.7876148065416042,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,ridge_entropy,entropy,uspto_backgrounds,256,0.27273336444613194,0.22517984268709182,0.7141145303989911,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,ridge_entropy,entropy,__composite_equal_v__,256,0.23028649890028993,0.18277695970334698,0.3123021002845362,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,ridge_equal,equal,arxiv,256,0.5844101621540073,0.48498364867774424,0.4380273730855274,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,ridge_equal,equal,freelaw,256,0.48049404169059845,0.4178495356266507,0.5749483241615718,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,ridge_equal,equal,pubmed_central,256,0.533258681567169,0.4611016952175821,0.5932965874038211,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,ridge_equal,equal,wikipedia_en,256,0.2932868293353105,0.24446455102804632,0.7118565581788631,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,ridge_equal,equal,dm_mathematics,256,1.159478067127427,1.0536437682936288,0.42823490171948164,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,ridge_equal,equal,github,256,0.6092880562468832,0.5039026085721657,0.5626201706394727,5.073727259412408,0.923088162832395
same_scale_1m,final_test,ridge_equal,equal,stackexchange,256,0.44891330217878894,0.3748946452082791,0.5429862471985467,5.119640211574733,0.665346278903753
same_scale_1m,final_test,ridge_equal,equal,gutenberg_pg_19,256,0.25673230032851324,0.20076253759170726,0.6725521213333052,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,ridge_equal,equal,pile_cc,256,0.15164697806034869,0.1227812653921592,0.7761162504309105,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,ridge_equal,equal,ubuntu_irc,256,0.649735536366017,0.5671438339445951,0.5756537546651459,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,ridge_equal,equal,hackernews,256,0.19134654843805016,0.15659594921470577,0.6762518167849128,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,ridge_equal,equal,pubmed_abstracts,256,0.2627338661583846,0.20332076777852442,0.7877675248727966,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,ridge_equal,equal,uspto_backgrounds,256,0.273304544269053,0.22522833230471268,0.7129158284963502,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,ridge_equal,equal,__composite_equal_v__,256,0.2298272521735459,0.18235756467147776,0.3150422357017467,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,forest_entropy,entropy,arxiv,256,0.3210535885310436,0.2544585076281505,0.8303965427389133,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,forest_entropy,entropy,freelaw,256,0.40295215626297953,0.3258256422938365,0.7010678072934082,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,forest_entropy,entropy,pubmed_central,256,0.38325430138994593,0.3249063873286359,0.7899242015253389,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,forest_entropy,entropy,wikipedia_en,256,0.41707675467999333,0.3448518940094518,0.4172858158605268,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,forest_entropy,entropy,dm_mathematics,256,0.3706976838315576,0.27676901594173375,0.9415570255932827,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,forest_entropy,entropy,github,256,0.35619170694893254,0.27661139017802894,0.8505207091960706,5.073727259412408,0.923088162832395
same_scale_1m,final_test,forest_entropy,entropy,stackexchange,256,0.28336982869976646,0.2107116430800201,0.8178993334407985,5.119640211574733,0.665346278903753
same_scale_1m,final_test,forest_entropy,entropy,gutenberg_pg_19,256,0.3554148562976582,0.29316605009339625,0.37244425222611044,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,forest_entropy,entropy,pile_cc,256,0.2095603295715881,0.1661179796549314,0.5724635009150312,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,forest_entropy,entropy,ubuntu_irc,256,0.35825808904345713,0.2646648688956075,0.8709853190163412,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,forest_entropy,entropy,hackernews,256,0.2920515345001584,0.24575720211844299,0.24580255040760401,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,forest_entropy,entropy,pubmed_abstracts,256,0.41976765099618835,0.33574902445692123,0.45825157182361,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,forest_entropy,entropy,uspto_backgrounds,256,0.41841476360109203,0.35285934204948943,0.3271325146611631,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,forest_entropy,entropy,__composite_equal_v__,256,0.11657702421111452,0.09756145844895063,0.8237672273466451,5.282281966306842,0.27823997177568216
same_scale_1m,final_test,train_mean,-,arxiv,256,0.7968727338169289,0.6616908192154369,-0.04485873519821282,4.8789487993344665,0.781106174013985
same_scale_1m,final_test,train_mean,-,freelaw,256,0.7377561889376495,0.6284809671633411,-0.0020547300659692347,5.315981733612716,0.7384430929510104
same_scale_1m,final_test,train_mean,-,pubmed_central,256,0.840775879515865,0.7518351070575591,-0.011026258658367594,5.088126305490732,0.8378165185877576
same_scale_1m,final_test,train_mean,-,wikipedia_en,256,0.5463924616676074,0.45798412797012134,-7.602577096288421e-05,5.815661903470755,0.5474419616862163
same_scale_1m,final_test,train_mean,-,dm_mathematics,256,1.5392828252360697,1.455323391721322,-0.0076957183440140575,3.75905832182616,1.5363975625784234
same_scale_1m,final_test,train_mean,-,github,256,0.9439876197741489,0.8036196430584823,-0.04989536505540659,5.073727259412408,0.923088162832395
same_scale_1m,final_test,train_mean,-,stackexchange,256,0.6759335543748375,0.5574903953165631,-0.03612542849715106,5.119640211574733,0.665346278903753
same_scale_1m,final_test,train_mean,-,gutenberg_pg_19,256,0.4489563088982346,0.377411037843558,-0.0013578681388126679,5.429231559857726,0.4495306558869061
same_scale_1m,final_test,train_mean,-,pile_cc,256,0.32055026128181696,0.2616700470971409,-0.0003392778988668965,5.733697077259421,0.3211237057370697
same_scale_1m,final_test,train_mean,-,ubuntu_irc,256,0.9994356224413369,0.9077590291853994,-0.004053310156890921,6.489985771477222,0.9993700524683925
same_scale_1m,final_test,train_mean,-,hackernews,256,0.33655534905631884,0.2837282214895822,-0.001564838141179914,5.3904115948826075,0.3369510819022689
same_scale_1m,final_test,train_mean,-,pubmed_abstracts,256,0.5708445416742268,0.47394343944324646,-0.0018793639228120718,5.414837868884206,0.5714260427913763
same_scale_1m,final_test,train_mean,-,uspto_backgrounds,256,0.5103829885899198,0.4305891534022521,-0.0011702218792619679,5.160357154905796,0.5110838070469053
same_scale_1m,final_test,train_mean,-,__composite_equal_v__,256,0.2846149798599803,0.22559881036263854,-0.05045209597713196,5.282281966306842,0.27823997177568216
