set,domain,n,Q_equal_mean,Q_equal_p05,Q_equal_p50,Q_equal_p95,Q_equal_ci95_lo,Q_equal_ci95_hi,Q_entropy_mean,Q_entropy_p05,Q_entropy_p50,Q_entropy_p95,Q_entropy_ci95_lo,Q_entropy_ci95_hi,Q_resolved_mean,Q_resolved_p05,Q_resolved_p50,Q_resolved_p95,Q_resolved_ci95_lo,Q_resolved_ci95_hi,c_mean,c_p05,c_p50,c_p95,c_ci95_lo,c_ci95_hi,conflict_rate,missing_metric_cells
merged,commoncrawl,9640,0.6188671120821864,0.5081106016531549,0.6275863578638126,0.6999847970724593,0.6177069205811008,0.620027303583272,0.3977643487398037,0.2850822312151353,0.3992767988739743,0.500460120904506,0.3964752847233361,0.3990534127562713,0.5589267335359777,0.4492303235443427,0.5615179485102542,0.6580093856818243,0.5577025010001224,0.5601509660718329,0.6050074721042131,0.4273934550394149,0.61407013414625,0.761610830285004,0.602945068988196,0.6070698752202303,0.12033195020746888,0
merged,github,203752,0.5392320705191772,0.4381578965817816,0.540583114251733,0.6391767417253651,0.5389693770755896,0.5394947639627649,0.358924037582375,0.23132452556185862,0.36239541075279696,0.4769650810558459,0.35859553020509205,0.35925254495965797,0.49145729148452905,0.38084889037474096,0.4946806611006902,0.5982916273169046,0.49117052281618917,0.4917440601528689,0.4746593832744148,0.3035228263062659,0.46286067755698146,0.6763481181705421,0.47416071554332045,0.4751580510055092,0.020309003101810042,0
merged,stackexchange,10000,0.6535113601752659,0.5679215329870099,0.6589657178982384,0.7191321922032929,0.6525946537307357,0.6544280666197961,0.48716201015913013,0.38729072803788245,0.48953730092350334,0.5769339042574503,0.4860280742668611,0.48829594605139914,0.60413013527202,0.5129857811364895,0.6093996569648212,0.6765144155222972,0.6031646171748996,0.6050956533691404,0.48812283933511097,0.35159863537073005,0.4862895317981149,0.632615439072112,0.4864433474586149,0.48980233121160704,0.0035,0
merged,wikipedia,10000,0.6124107352384235,0.502288114305268,0.6192458630529267,0.7002149037555804,0.6112015985729574,0.6136198719038896,0.4004865595095231,0.25550387696631466,0.414939677451581,0.5133495153000632,0.3989129070930476,0.4020602119259986,0.5470245928631126,0.4355065808322017,0.5490089709503354,0.6480284043912617,0.5457571773483295,0.5482920083778956,0.604707506288936,0.4545198662390726,0.6056596753720862,0.75199554411614,0.602968390172208,0.6064466224056639,0.0933,0
extended_nonoverlap,arxiv,16104,0.6196300173636357,0.572380299111376,0.6183221745609078,0.6716257830543113,0.6191404584846487,0.6201195762426226,0.4680805368577178,0.42865766231998714,0.46362416400611905,0.525603807413578,0.46757944197985774,0.4685816317355778,0.5506830208766064,0.4983484396071416,0.5471878973212754,0.6137804187710387,0.5501192948179784,0.5512467469352343,0.7185591490171074,0.599036322990166,0.7279496825506254,0.8014223304280225,0.7175546780688342,0.7195636199653805,0.5272603079980129,0
extended_nonoverlap,github,193752,0.5392193871005577,0.43817728789338783,0.540580185127242,0.639158362025086,0.5389499753101255,0.53948879889099,0.3589129347042446,0.23132924510136849,0.36234684482043733,0.47691504439626486,0.35857605423842426,0.359249815170065,0.4914411257252047,0.3808815581866412,0.4946553592989059,0.5982520952873912,0.49114702738238836,0.49173522406802106,0.4746926743072064,0.30354400797896675,0.46286067755698146,0.6763522057701086,0.4741813197875426,0.47520402882687024,0.020448821173458854,0
A1_dev_reference,arxiv,709,0.6214575711694031,0.5695735252346966,0.6192728239610455,0.6791152628139762,0.6188721796499632,0.6240429626888431,0.4704412682728603,0.42566168060020754,0.465585854840177,0.5357399965769059,0.4678224361938235,0.4730601003518971,0.5525668500588238,0.4946426227197621,0.5491053686323597,0.6244870917127112,0.5496096966440329,0.5555240034736146,0.7169242226089713,0.5968396971394896,0.7244463263135534,0.8062878154456651,0.7118741688636094,0.7219742763543331,0.5021156558533145,0
A1_dev_reference,book,86,0.5350999435266561,0.4516450608374588,0.5301158770630781,0.6216544135167743,0.5234515290118771,0.5467483580414352,0.35728488588745877,0.22996287762498518,0.3384067910647356,0.49868062266039753,0.3389539305821186,0.37561584119279895,0.4765547410646107,0.3911958345380433,0.4750401689923398,0.5567367460397329,0.46563356366603376,0.48747591846318766,0.6821805294424992,0.4952591758465401,0.6917028460305585,0.8729471713685168,0.6588032407876065,0.7055578180973918,0.32558139534883723,0
A1_dev_reference,c4,5000,0.6199287448389602,0.5055347352988157,0.6260291788798458,0.7152759353461535,0.618167079702153,0.6216904099757674,0.3853524702925339,0.27176263965771746,0.3837265391445481,0.5037419029183071,0.38340966683521044,0.38729527374985734,0.5504123823829312,0.4299567403013234,0.5526345222521614,0.665996601928477,0.5484723148923014,0.552352449873561,0.636768027243222,0.44664476983553353,0.6475858287937699,0.7867741798742172,0.6339296552814637,0.6396063992049803,0.1952,0
A1_dev_reference,commoncrawl,4820,0.6195852242069964,0.5099245386575227,0.6280928032900168,0.6983679283766133,0.6179683688238276,0.6212020795901652,0.3980867862864726,0.2858270103709099,0.3994978009250177,0.49900194536529857,0.3962910251706769,0.3998825474022683,0.5594126520521332,0.4501931516971195,0.5621014364961958,0.656144036569996,0.5577060981208726,0.5611192059833938,0.6069223616220927,0.4316001017218894,0.6145272450234851,0.7621835109890753,0.6040171371828478,0.6098275860613376,0.12904564315352698,0
A1_dev_reference,github,5000,0.538998034778554,0.4388221805273565,0.5404241600382563,0.6405091300089959,0.5373235622582067,0.5406725072989014,0.3588193295328337,0.23202798768295727,0.36218936468510754,0.4786964975820262,0.35671989884286165,0.3609187602228057,0.49131641767260437,0.38119872351882234,0.4936654311078864,0.6002179026722652,0.48948777314516045,0.4931450622000483,0.47423277953273907,0.3046905740506682,0.46286812387579657,0.6760198467466888,0.47108590386577054,0.4773796551997076,0.0168,0
A1_dev_reference,stackexchange,5000,0.6530965439857325,0.5685021259706283,0.6587976287827899,0.7184604493663067,0.651787145678206,0.654405942293259,0.4865861163583611,0.3862235909943064,0.48855991042480373,0.5753981430994123,0.48497858169595703,0.4881936510207651,0.6036395897200839,0.5144720344711038,0.6086818316229534,0.6757876424038752,0.6022681612880736,0.6050110181520942,0.48896157803573276,0.3529659719941269,0.48800867241061396,0.6363603805639627,0.4866042924754695,0.491318863595996,0.0028,0
