kind,label,params,cv_mean_target_rmse,cv_composite_rmse,cv_composite_r2,cv_seconds,cv_rmse_arxiv,cv_rmse_freelaw,cv_rmse_pubmed_central,cv_rmse_wikipedia_en,cv_rmse_dm_mathematics,cv_rmse_github,cv_rmse_stackexchange,cv_rmse_gutenberg_pg_19,cv_rmse_pile_cc,cv_rmse_ubuntu_irc,cv_rmse_hackernews,cv_rmse_pubmed_abstracts,cv_rmse_uspto_backgrounds
forest,rf_n600_d8_l2_f1.0,"{'n_estimators': 600, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 1.0, 'n_jobs': -1}",0.4001699217653525,0.15788289522013363,0.756793939181434,2.80805749999854,0.4368818729090723,0.4804887275801321,0.4208855030429871,0.46063550936858644,0.383292333356005,0.4361146458531314,0.3494139110385771,0.37662049849014995,0.2476183361626922,0.39320184306850836,0.29894500719116174,0.4639096726914339,0.454201122197145
forest,rf_n300_d8_l2_f1.0,"{'n_estimators': 300, 'max_depth': 8, 'min_samples_leaf': 2, 'max_features': 1.0, 'n_jobs': -1}",0.4012019879679207,0.1586508200918026,0.7546591956081957,1.4730166000008467,0.43595010163600867,0.48310765845484066,0.419074592226087,0.4608468985344203,0.3846593154644194,0.44026829329818434,0.35343544227405466,0.3768682946038728,0.24759883800013247,0.39452140543929687,0.29830712442344787,0.4658714026693148,0.45511647655888937
forest,rf_n600_d12_l4_f1.0,"{'n_estimators': 600, 'max_depth': 12, 'min_samples_leaf': 4, 'max_features': 1.0, 'n_jobs': -1}",0.4227799680405958,0.16630403940359365,0.7312512793050109,2.784371199995803,0.460404477805202,0.5282238170420495,0.4499143545300613,0.48135254182759735,0.4010128731844441,0.45627994999984123,0.3731091093828948,0.3926711832786917,0.26507542436440834,0.4114622461818659,0.30662582454171217,0.48900905619182844,0.4809987261971485
forest,rf_n600_dNone_l4_f1.0,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 4, 'max_features': 1.0, 'n_jobs': -1}",0.4227799680405958,0.16630403940359367,0.7312512793050109,2.82903709999664,0.4604044778052021,0.5282238170420496,0.4499143545300613,0.48135254182759735,0.401012873184444,0.45627994999984134,0.3731091093828948,0.3926711832786917,0.26507542436440834,0.41146224618186594,0.3066258245417123,0.48900905619182844,0.4809987261971485
forest,rf_n600_d8_l4_f1.0,"{'n_estimators': 600, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 1.0, 'n_jobs': -1}",0.42285500823899846,0.1663246983684944,0.7311886523683583,2.7885559999995166,0.4605144325045828,0.5283671319410633,0.4501340416991164,0.48136862101332245,0.40101698799096697,0.4562349082597413,0.37315106108492613,0.3927239674014561,0.26511178376151473,0.4115277516980266,0.3066933789452002,0.4891092613632172,0.4811617794438459
forest,rf_n300_dNone_l4_f1.0,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 4, 'max_features': 1.0, 'n_jobs': -1}",0.4236362190469147,0.16635462661027406,0.731126469669842,1.4687238999977126,0.45890239072003763,0.5300784075571294,0.4482447830957656,0.4811230510175221,0.4026781262169633,0.460464770999527,0.37782503300978465,0.3923491275307926,0.26489800784935075,0.4122542886341852,0.3064202965995607,0.4897832844324528,0.48224927994681943
forest,rf_n300_d12_l4_f1.0,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_leaf': 4, 'max_features': 1.0, 'n_jobs': -1}",0.4236362190469147,0.16635462661027406,0.731126469669842,1.504369800000859,0.4589023907200377,0.5300784075571295,0.4482447830957656,0.4811230510175221,0.4026781262169634,0.46046477099952704,0.37782503300978465,0.3923491275307926,0.2648980078493507,0.4122542886341852,0.3064202965995607,0.4897832844324528,0.48224927994681943
forest,rf_n300_d8_l4_f1.0,"{'n_estimators': 300, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 1.0, 'n_jobs': -1}",0.42371155742151384,0.16637359113525546,0.7310677420738406,1.4690819999959785,0.4590426856411057,0.5301786291300136,0.44853450734993927,0.48111672045796416,0.4026788967448097,0.4604541980983899,0.3778399241946053,0.3924106380992975,0.264925670740507,0.4123451334368423,0.3064505715709332,0.4898396879077377,0.4824329831075338
ridge,ridge_a0.01,{'alpha': 0.01},0.49663434292217956,0.28193117343815755,0.23469949226118283,0.00479819999600295,0.7293810154832944,0.4946522320461263,0.5883564814903457,0.29829200273332945,1.2099255254388166,0.7147136901549509,0.5275435498831647,0.2470223412448811,0.1605372149136791,0.6948377355867087,0.20615331187523855,0.3078182855860276,0.2770130715517719
ridge,ridge_a0.001,{'alpha': 0.001},0.49700633305602476,0.2821978532562046,0.233158865347681,0.005183400004170835,0.730485525904975,0.49528261235632287,0.5884713750828702,0.2983943853038761,1.2110777032082356,0.7151613282655604,0.5281438718605782,0.24710525166588732,0.16055343601475847,0.6951523483375619,0.20611609189362165,0.3080403433785831,0.27709805645549157
ridge,ridge_a0.0001,{'alpha': 0.0001},0.4971008223658664,0.2822638156494005,0.23278557963194285,0.006094700001995079,0.7306892972147898,0.4954118239785948,0.588505994865524,0.2984204887886896,1.2113638603996235,0.7152768111194765,0.5282378271981026,0.24713578368233363,0.16058051429261352,0.6953030444639294,0.20615482283032982,0.30809613153723364,0.2771342903850224
ridge,ridge_a0.1,{'alpha': 0.1},0.49750636542923043,0.28258635478531735,0.2314052386774331,0.005337900001904927,0.7275220792563462,0.4941130104667371,0.5880973257384203,0.29889723681879465,1.2100972004505066,0.7139543119192561,0.5262065173979504,0.24713652881799758,0.1610631104698106,0.7015688363113411,0.21309040852903965,0.3087395501117396,0.2770966342920552
ridge,ridge_a1,{'alpha': 1.0},0.5182256160817184,0.29094892259315197,0.18514028192550475,0.0056927000041469,0.7254071956880666,0.49583555895270753,0.5898383761559383,0.302037747635077,1.2759614042864258,0.715660787431685,0.5275502244579384,0.257060863678127,0.16419768475999078,0.82427258109959,0.26573754624216706,0.31264636205130336,0.2807266766233217
ridge,ridge_a10,{'alpha': 10.0},0.5884815163296117,0.3089365140868767,0.08096979469630676,0.005981499998597428,0.7607754155712039,0.5448780490326304,0.6266039365275141,0.3619445264520039,1.465454327904069,0.7617052447634592,0.566099098694469,0.3359471219372572,0.18995466548557097,0.9814581508266839,0.2994299149791508,0.39486987634836623,0.36113938376257326
ridge,ridge_a100,{'alpha': 100.0},0.7090515126100808,0.32136074040062396,0.005671220339407856,0.004565299997921102,0.9378963991988553,0.7198095273788683,0.7827189181120061,0.4900773616758524,1.5250953725083565,0.9630678454353381,0.7155302435896573,0.4135334147521227,0.2818789071401345,1.0214886402442627,0.3290340260661435,0.5416210583643725,0.49591794946508144
