logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
24.9,7.94328e+24,对数渐进型,32768,1.02166e+10,6.13533e+13,1,1.69011,0.000166522,6005.22,False,0.473475,0.517161,0.00936349
25,1e+25,对数渐进型,32768,1.1324e+10,6.97502e+13,1,1.6901,0.00016235,6159.52,False,0.473909,0.517635,0.00845562
19,1e+19,对数渐进型,131072,1.02976e+07,3.01448e+10,0.5,1.69303,0.000341605,2927.36,True,0.186252,0.813748,0
19.1,1.25893e+19,对数渐进型,131072,1.14259e+07,3.42027e+10,0.5,1.69292,0.000334063,2993.45,True,0.186252,0.813748,0
19.2,1.58489e+19,对数渐进型,131072,1.26777e+07,3.88069e+10,0.5,1.69281,0.000326688,3061.03,True,0.186252,0.813748,0
19.3,1.99526e+19,对数渐进型,131072,1.40667e+07,4.40308e+10,0.5,1.69271,0.000319475,3130.13,True,0.186252,0.813748,0
19.4,2.51189e+19,对数渐进型,131072,1.5608e+07,4.99579e+10,0.5,1.69261,0.000312422,3200.79,True,0.186252,0.813748,0
19.5,3.16228e+19,对数渐进型,131072,1.7318e+07,5.66828e+10,0.5,1.69251,0.000305525,3273.05,True,0.186252,0.813748,0
19.6,3.98107e+19,对数渐进型,131072,1.92154e+07,6.43132e+10,0.5,1.69242,0.000298779,3346.95,True,0.186252,0.813748,0
19.7,5.01187e+19,对数渐进型,131072,2.13207e+07,7.29706e+10,0.5,1.69232,0.000292183,3422.52,True,0.186252,0.813748,0
19.8,6.30957e+19,对数渐进型,131072,5.85412e+07,2.03657e+10,1,1.69222,0.00287451,347.886,False,0.113374,0.495337,0.39129
19.9,7.94328e+19,对数渐进型,131072,6.29095e+07,2.45249e+10,1,1.69212,0.00256513,389.845,False,0.11654,0.509171,0.374289
20,1e+20,对数渐进型,131072,6.7671e+07,2.94789e+10,1,1.69202,0.00229557,435.622,False,0.119692,0.522943,0.357365
20.1,1.25893e+20,对数渐进型,131072,7.2867e+07,3.53667e+10,1,1.69193,0.00206033,485.359,False,0.122822,0.536618,0.34056
20.2,1.58489e+20,对数渐进型,131072,7.85434e+07,4.23485e+10,1,1.69185,0.00185469,539.173,False,0.125921,0.550158,0.32392
20.3,1.99526e+20,对数渐进型,131072,8.47512e+07,5.06093e+10,1,1.69176,0.00167462,597.152,False,0.128982,0.563529,0.30749
20.4,2.51189e+20,对数渐进型,131072,9.15477e+07,6.03612e+10,1,1.69168,0.00151666,659.342,False,0.131995,0.576694,0.291312
20.5,3.16228e+20,对数渐进型,131072,9.8996e+07,7.18476e+10,1,1.69161,0.00137786,725.763,False,0.134953,0.589617,0.275431
20.6,3.98107e+20,对数渐进型,131072,1.07167e+08,8.53465e+10,1,1.69154,0.00125567,796.386,False,0.137847,0.602265,0.259888
20.7,5.01187e+20,对数渐进型,131072,1.1614e+08,1.01176e+11,1,1.69147,0.0011479,871.154,False,0.140672,0.614605,0.244723
20.8,6.30957e+20,对数渐进型,131072,1.26001e+08,1.19696e+11,1,1.69141,0.00105268,949.959,False,0.143419,0.626607,0.229975
20.9,7.94328e+20,对数渐进型,131072,1.3685e+08,1.41319e+11,1,1.69134,0.000968371,1032.66,False,0.146082,0.638242,0.215676
21,1e+21,对数渐进型,131072,1.48794e+08,1.66512e+11,1,1.69128,0.000893591,1119.08,False,0.148656,0.649486,0.201858
21.1,1.25893e+21,对数渐进型,131072,1.61954e+08,1.95804e+11,1,1.69123,0.000827126,1209.01,False,0.151135,0.660318,0.188547
21.2,1.58489e+21,对数渐进型,131072,1.76466e+08,2.29794e+11,1,1.69117,0.000767929,1302.2,False,0.153515,0.670717,0.175768
21.3,1.99526e+21,对数渐进型,131072,1.92478e+08,2.69163e+11,1,1.69112,0.000715098,1398.41,False,0.155793,0.68067,0.163537
21.4,2.51189e+21,对数渐进型,131072,2.10157e+08,3.1468e+11,1,1.69107,0.000667843,1497.36,False,0.157966,0.690165,0.151869
