Model,BBH,bbh_macro,bbh_weighted,bbh_group,n_subtasks
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,34.6568,53.4591,53.1505,53.1505,24
BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,35.3787,55.0912,54.9731,54.9731,24
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,30.8888,50.7734,50.4079,50.4079,24
BAAI/Infinity-Instruct-7M-0729-mistral-7B,28.6979,49.6381,49.3144,49.3144,24
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,52.4989,66.952,66.7592,66.7592,24
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,30.8888,50.7734,50.4079,50.4079,24
BAAI/Infinity-Instruct-7M-Gen-mistral-7B,28.6979,49.6381,49.3144,49.3144,24
BAAI/OPI-Llama-3.1-8B-Instruct,9.76871,35.5122,35.2022,35.2022,24
BEE-spoke-data/Meta-Llama-3-8Bee,24.199,46.2636,46.2073,46.2073,24
BEE-spoke-data/smol_llama-101M-GQA,3.198,30.1756,29.7691,29.7691,24
BEE-spoke-data/smol_llama-220M-GQA,3.03784,30.3167,29.9774,29.9774,24
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2.3149,29.2905,28.9707,28.9707,24
BEE-spoke-data/smol_llama-220M-openhermes,3.10769,30.2752,29.9774,29.9774,24
BEE-spoke-data/tFINE-900m-e16-d32-flan,4.41189,30.2804,30.1163,30.1163,24
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,4.73702,31.3779,31.1578,31.1578,24
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,5.01307,31.3457,30.9668,30.9668,24
BEE-spoke-data/tFINE-900m-instruct-orpo,3.2673,30.2209,29.9948,29.9948,24
BSC-LT/salamandra-7b,10.1574,35.1661,35.0981,35.0981,24
BSC-LT/salamandra-7b-instruct,14.6881,38.5132,38.292,38.292,24
Ba2han/Llama-Phi-3_DoRA,37.2492,55.1456,54.9037,54.9037,24
Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,61.6123,72.5632,72.3833,72.3833,24
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,61.9115,72.7311,72.5742,72.5742,24
BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,26.878,49.0867,49.0366,49.0366,24
BlackBeenie/Bloslain-8B-v0.2,30.6629,51.1088,50.8766,50.8766,24
