,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
philpapers*gutenberg_pg_19,1.19907,0.775878,1.17659,0.503257,2.47653,1.15804,0.692742,0.431012,0.27987,1.4286,0.387508,0.482404,0.509036
philpapers*pile_cc,0.608389,0.316762,0.432872,0.156244,1.36152,0.607035,0.355064,0.139868,0.102961,0.523926,0.121895,0.150468,0.167632
philpapers*ubuntu_irc,1.20819,0.699053,1.17163,0.416893,3.04191,1.17475,0.753445,0.409235,0.310444,2.2018,0.359204,0.463721,0.377425
philpapers*europarl,0.996697,0.676453,0.825775,0.409454,2.06014,1.02258,0.789352,0.33125,0.189118,1.51547,0.345628,0.29777,0.384857
philpapers*hackernews,1.07673,0.843802,0.907534,0.463985,2.53343,1.1411,0.705288,0.436651,0.273642,1.25688,0.408244,0.445495,0.474908
philpapers*pubmed_abstracts,1.0572,0.774271,0.937486,0.850705,2.27537,1.06105,0.762659,0.491709,0.253197,1.3201,0.43868,0.533386,0.424233
philpapers*uspto_backgrounds,0.997951,0.72225,0.908002,0.467648,2.21929,0.966575,0.658219,0.407128,0.205896,1.41013,0.435409,0.296866,0.348743
stackexchange*enron_emails,0.984957,1.0793,1.27815,0.499579,2.60027,1.36907,1.09357,0.68646,0.302564,2.03535,0.419109,0.519742,0.455223
stackexchange*gutenberg_pg_19,0.15577,0.119288,0.164802,0.0857288,0.433868,0.152,0.119578,0.0690598,0.0394533,0.238287,0.0490528,0.0723134,0.0807812
stackexchange*pile_cc,0.0894725,0.0416595,0.0851727,0.0225917,0.156591,0.0877258,0.0781706,0.0199302,0.0159909,0.0896112,0.0245318,0.0305378,0.0357951
stackexchange*ubuntu_irc,0.23816,0.224559,0.21119,0.103445,0.613716,0.181427,0.154122,0.109053,0.051843,0.400547,0.0837447,0.140748,0.100387
stackexchange*europarl,0.299145,0.263242,0.312569,0.140816,0.682827,0.316637,0.266544,0.11342,0.0641207,0.416867,0.119265,0.118134,0.169347
stackexchange*hackernews,0.324446,0.365944,0.315723,0.149623,0.790423,0.272058,0.279838,0.158209,0.0890115,0.466822,0.171419,0.150858,0.124886
stackexchange*pubmed_abstracts,0.102064,0.0832233,0.109116,0.0710351,0.26461,0.111756,0.0873033,0.0512219,0.0286577,0.146695,0.0459221,0.0486504,0.0423824
stackexchange*uspto_backgrounds,0.11545,0.115791,0.10645,0.060655,0.245693,0.120212,0.0957379,0.0452568,0.0264716,0.162669,0.0456986,0.0370472,0.0490976
enron_emails*gutenberg_pg_19,1.83617,0.883192,1.41872,0.553011,3.84209,1.25695,0.937328,0.603964,0.335644,1.87655,0.505226,0.599851,0.484018
enron_emails*pile_cc,1.2276,0.554638,0.832984,0.331166,2.61318,0.941959,0.593891,0.304312,0.233295,1.09557,0.232156,0.276582,0.269365
enron_emails*ubuntu_irc,0.885948,0.54399,0.799693,0.356658,2.10242,0.713484,0.513512,0.292082,0.19511,1.57047,0.240057,0.343437,0.314721
enron_emails*europarl,0.572597,0.316797,0.41052,0.177221,0.974602,0.4298,0.342947,0.167413,0.095221,0.571135,0.16073,0.150508,0.166963
enron_emails*hackernews,0.465985,0.434094,0.423348,0.211896,1.32022,0.488906,0.446787,0.237689,0.123166,0.697857,0.251998,0.188827,0.163887
enron_emails*pubmed_abstracts,1.84436,0.860743,1.07782,0.701549,2.90986,1.22267,0.764548,0.522351,0.318197,1.44121,0.519791,0.450632,0.605887
enron_emails*uspto_backgrounds,1.87889,0.947119,1.31747,0.6536,3.02905,1.67228,1.40357,0.809496,0.424379,1.88506,0.786444,0.480527,0.472017
gutenberg_pg_19*pile_cc,0.202666,0.0843651,0.117724,0.0657749,0.35409,0.138274,0.0960725,0.0506081,0.0446496,0.206743,0.0403599,0.050923,0.0544928
gutenberg_pg_19*ubuntu_irc,0.676712,0.368251,0.619211,0.268079,1.40658,0.578898,0.473353,0.179904,0.166251,0.826509,0.201021,0.254035,0.197759
gutenberg_pg_19*europarl,0.636136,0.445407,0.584288,0.245212,1.40791,0.704875,0.463685,0.246475,0.170323,0.838826,0.179829,0.210521,0.27304
gutenberg_pg_19*hackernews,0.878724,0.623065,0.701033,0.389158,2.03874,1.15543,0.731501,0.269071,0.23767,1.02963,0.321042,0.388964,0.367251
gutenberg_pg_19*pubmed_abstracts,0.27213,0.160059,0.187441,0.111351,0.516268,0.235336,0.172372,0.0815762,0.0563987,0.239984,0.0817041,0.0820697,0.0933923
gutenberg_pg_19*uspto_backgrounds,0.263114,0.136252,0.195432,0.09159,0.448068,0.235894,0.153156,0.0672205,0.0513938,0.310353,0.0696395,0.0660553,0.0833082
pile_cc*ubuntu_irc,0.281539,0.114665,0.249991,0.0671968,0.551046,0.258204,0.154741,0.0574957,0.0513645,0.284475,0.0576309,0.0646914,0.0731763
pile_cc*europarl,0.278197,0.144324,0.245631,0.0703437,0.783254,0.282804,0.165209,0.0739999,0.0515408,0.334677,0.0773336,0.0750813,0.0955352
pile_cc*hackernews,0.53987,0.41716,0.551545,0.177346,1.06111,0.504088,0.382741,0.178509,0.127416,0.632997,0.154334,0.260188,0.250628
pile_cc*pubmed_abstracts,0.138327,0.0730681,0.111481,0.0506039,0.264623,0.133297,0.0901631,0.040966,0.0281401,0.137698,0.0396132,0.0375144,0.0405179
pile_cc*uspto_backgrounds,0.116128,0.0625544,0.0919836,0.0360762,0.22763,0.122365,0.0776982,0.032764,0.0220376,0.125785,0.0356542,0.0254185,0.035261
ubuntu_irc*europarl,1.68313,0.857312,1.33108,0.493865,3.32363,1.4853,1.06665,0.560388,0.325066,1.9281,0.538921,0.638493,0.54992
ubuntu_irc*hackernews,1.47099,1.06565,1.21746,0.670544,3.38621,1.17405,0.800768,0.476261,0.377798,1.87009,0.504454,0.529135,0.55701
ubuntu_irc*pubmed_abstracts,0.292778,0.193592,0.283093,0.16099,0.76592,0.256623,0.19978,0.133778,0.0706976,0.419983,0.104152,0.120168,0.109113
ubuntu_irc*uspto_backgrounds,0.327847,0.212971,0.308404,0.123244,0.897254,0.402135,0.254972,0.141514,0.0750952,0.525993,0.130486,0.0974439,0.13103
europarl*hackernews,1.45651,1.11844,1.20855,0.579166,3.7401,1.34956,0.858835,0.494815,0.314503,1.94102,0.44375,0.546094,0.492113
europarl*pubmed_abstracts,0.778957,0.440018,0.608568,0.262874,1.26773,0.741881,0.592906,0.202567,0.122069,0.740101,0.211652,0.189219,0.204845
europarl*uspto_backgrounds,0.899659,0.449006,0.66981,0.243067,1.34094,0.638689,0.438359,0.189696,0.125918,0.783084,0.170363,0.171695,0.194141
hackernews*pubmed_abstracts,0.40418,0.341907,0.413352,0.221554,1.18781,0.501197,0.41058,0.144163,0.0985668,0.606569,0.172195,0.149015,0.197695
hackernews*uspto_backgrounds,0.602623,0.429887,0.567332,0.233917,1.38056,0.453877,0.413601,0.231948,0.151019,0.762384,0.286127,0.221358,0.223173
pubmed_abstracts*uspto_backgrounds,0.165088,0.0991367,0.120731,0.0732632,0.351274,0.148053,0.09987,0.0633593,0.0386652,0.175768,0.062228,0.0463469,0.0546788
