scenario,C,ell,kappa,N_B,D_B,Q,L,regime,regime_changed_vs_baseline,N_rel_change_vs_baseline
kappa_boot_lo,1e+24,8192,0.25755077629407275,37.60298012645622,3434.7843725392227,1.0,2.088208299990602,upper_bound_Q1,False,0.0
kappa_boot_hi,1e+19,2048,0.4107968096187216,0.20602301217108884,7.185079393884295,0.49339255720564085,3.238350926881932,interior,False,-0.07119152543036344
kappa_boot_hi,1e+19,8192,0.4107968096187216,0.1930581124198174,6.397206308962758,0.507680202809572,3.2748562517341853,interior,False,-0.07529524174384616
kappa_boot_hi,1e+22,2048,0.4107968096187216,5.382712197953356,269.51245612753775,0.93459448997875,2.3187703990923767,interior,True,-0.04754129839220045
kappa_boot_hi,1e+22,8192,0.4107968096187216,4.999508705628432,243.69356122505434,0.9488821355826812,2.3308418317502353,interior,True,-0.034804286264929596
kappa_boot_hi,1e+24,2048,0.4107968096187216,40.84531500118385,3763.4361449301828,1.0,2.082140824845693,upper_bound_Q1,False,0.0
kappa_boot_hi,1e+24,8192,0.4107968096187216,37.60298012645622,3434.7843725392227,1.0,2.088208299990602,upper_bound_Q1,False,0.0
alpha_lo,1e+19,2048,0.8047071577351047,0.2218143113590233,5.982821058266246,0.6024991750156958,3.291170944597919,interior,False,0.0
alpha_lo,1e+19,8192,0.8047071577351047,0.2069373148049301,5.36292678775752,0.6172059061081329,3.326755471572021,interior,False,-0.008816996797551657
alpha_lo,1e+22,2048,0.8047071577351047,5.651386447377781,249.15527532483043,1.0,2.3192854469991238,upper_bound_Q1,False,0.0
alpha_lo,1e+22,8192,0.8047071577351047,5.179787513023199,230.00256212691966,1.0,2.3311842977689805,upper_bound_Q1,False,0.0
alpha_lo,1e+24,2048,0.8047071577351047,40.84531500118385,3763.4361449301828,1.0,2.082208267386498,upper_bound_Q1,False,0.0
alpha_lo,1e+24,8192,0.8047071577351047,37.60298012645622,3434.7843725392227,1.0,2.088276118864947,upper_bound_Q1,False,0.0
alpha_hi,1e+19,2048,0.8047071577351047,0.2218143113590233,5.982821058266246,0.6024991750156958,3.2914797549142008,interior,False,0.0
alpha_hi,1e+19,8192,0.8047071577351047,0.20877811073871222,5.3169994128083555,0.6180440770851444,3.327084696665994,interior,False,0.0
alpha_hi,1e+22,2048,0.8047071577351047,5.651386447377781,249.15527532483043,1.0,2.319167316544465,upper_bound_Q1,False,0.0
alpha_hi,1e+22,8192,0.8047071577351047,5.179787513023199,230.00256212691966,1.0,2.3310687376705865,upper_bound_Q1,False,0.0
alpha_hi,1e+24,2048,0.8047071577351047,40.84531500118385,3763.4361449301828,1.0,2.0820790980470525,upper_bound_Q1,False,0.0
alpha_hi,1e+24,8192,0.8047071577351047,37.60298012645622,3434.7843725392227,1.0,2.088146227861388,upper_bound_Q1,False,0.0
beta_lo,1e+19,2048,0.8047071577351047,0.2218143113590233,5.982821058266246,0.6024991750156958,3.2913930458109886,interior,False,0.0
beta_lo,1e+19,8192,0.8047071577351047,0.20877811073871222,5.3169994128083555,0.6180440770851444,3.3269861187604994,interior,False,0.0
beta_lo,1e+22,2048,0.8047071577351047,5.651386447377781,249.15527532483043,1.0,2.3193002680634747,upper_bound_Q1,False,0.0
beta_lo,1e+22,8192,0.8047071577351047,5.179787513023199,230.00256212691966,1.0,2.331201058729545,upper_bound_Q1,False,0.0
beta_lo,1e+24,2048,0.8047071577351047,40.84531500118385,3763.4361449301828,1.0,2.082194207617824,upper_bound_Q1,False,0.0
beta_lo,1e+24,8192,0.8047071577351047,37.60298012645622,3434.7843725392227,1.0,2.0882624576548605,upper_bound_Q1,False,0.0
beta_hi,1e+19,2048,0.8047071577351047,0.2218143113590233,5.982821058266246,0.6024991750156958,3.2912685178133945,interior,False,0.0
beta_hi,1e+19,8192,0.8047071577351047,0.2069373148049301,5.36292678775752,0.6172059061081329,3.326867127010832,interior,False,-0.008816996797551657
beta_hi,1e+22,2048,0.8047071577351047,5.651386447377781,249.15527532483043,1.0,2.319143965493325,upper_bound_Q1,False,0.0
beta_hi,1e+22,8192,0.8047071577351047,5.179787513023199,230.00256212691966,1.0,2.3310435345861427,upper_bound_Q1,False,0.0
beta_hi,1e+24,2048,0.8047071577351047,40.84531500118385,3763.4361449301828,1.0,2.082085131049325,upper_bound_Q1,False,0.0
