dataset,kind,variant,mode,target,n,spearman,regret,expected_regret_random_pick,rmse_uncalibrated,mae_uncalibrated,y_min,y_max,y_range,topk1_hit,topk3_hit,topk5_hit,topk10_hit,note
est_10b,extrapolation,ridge_entropy,entropy,arxiv,63,0.7447676651305684,0.0,0.6502952380952383,3.413689981231413,3.3527378780387607,1.0486,2.3615,1.3129,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,freelaw,63,0.7103014592933948,0.0,0.7707428571428568,3.4542120299278527,3.41487166866311,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,pubmed_central,63,0.6560579877112135,0.0,0.7131380952380946,3.476791205122428,3.4430237200402267,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,wikipedia_en,63,0.4365504165623951,0.2594000000000001,0.5561936507936507,3.8849386250895663,3.8700076097871015,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,dm_mathematics,63,0.6340245775729647,0.13,0.7211063492063489,2.825999095709712,2.7528293113321265,0.6258,1.9448,1.319,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,github,63,0.6048387096774194,0.12149999999999994,0.6725555555555556,3.7000602717343116,3.6562943129720287,1.1153,2.2485,1.1332,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,stackexchange,63,0.5799560767035895,0.10089999999999999,0.4341111111111111,3.60660868997315,3.577569026815161,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,gutenberg_pg_19,63,0.5284178187403994,0.31919999999999993,0.502990476190476,3.5844012668350453,3.570460119663178,1.3043,2.2052,0.9009,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,pile_cc,63,0.1587941628264209,0.09349999999999992,0.4624015873015874,3.805836243516391,3.7951463641680863,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,ubuntu_irc,63,0.4848790322580645,0.058499999999999996,0.615215873015873,4.4675516258484596,4.441786613334731,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,hackernews,63,0.1693068356374808,0.16549999999999998,0.38035873015873034,3.5829768149303414,3.5689799655090826,1.4418,2.2718,0.8299999999999998,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,pubmed_abstracts,63,0.32272465437788017,0.41480000000000006,0.6093492063492063,3.653621635244415,3.632003862110544,1.2101,2.2223,1.0122000000000002,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,uspto_backgrounds,63,0.44192158607236226,0.0,0.5972079365079366,3.450040024745407,3.433757691290275,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,ridge_entropy,entropy,__composite_equal_v__,63,-0.4937115975422427,0.3587230769230767,0.1994589743589743,3.583772930214914,3.576083048719659,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,arxiv,63,0.8519585253456221,0.07650000000000001,0.6502952380952383,3.5235135991061455,3.4263779451159544,1.0486,2.3615,1.3129,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,freelaw,63,0.7733294930875576,0.0,0.7707428571428568,3.479713747663654,3.4510492964976383,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,pubmed_central,63,0.7432315668202765,0.0,0.7131380952380946,3.514444444813748,3.4579020165209027,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,wikipedia_en,63,0.30691500860915694,0.2594000000000001,0.5561936507936507,3.8659425458522714,3.851443691661256,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,dm_mathematics,63,0.8338133640552995,0.0,0.7211063492063489,2.9388394226129635,2.72763481278119,0.6258,1.9448,1.319,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,github,63,0.7970430107526881,0.0,0.6725555555555556,3.6623364121299775,3.577649434688482,1.1153,2.2485,1.1332,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,stackexchange,63,0.6492013393485365,0.10089999999999999,0.4341111111111111,3.5749656450803773,3.5186761150795136,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,gutenberg_pg_19,63,0.4080741167434716,0.06570000000000009,0.502990476190476,3.602760016309968,3.589542527138805,1.3043,2.2052,0.9009,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,pile_cc,63,0.07330069124423963,0.09349999999999992,0.4624015873015874,3.807433193956712,3.7966710454058785,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,ubuntu_irc,63,0.6105990783410138,0.058499999999999996,0.615215873015873,4.5480884148255605,4.478547405253377,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,hackernews,63,-0.023521505376344086,0.5118,0.38035873015873034,3.6082776659750766,3.593901726936687,1.4418,2.2718,0.8299999999999998,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,pubmed_abstracts,63,0.3424539170506912,0.0,0.6093492063492063,3.626828707387193,3.6090035441439827,1.2101,2.2223,1.0122000000000002,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,uspto_backgrounds,63,0.3925498338156357,0.0,0.5972079365079366,3.4312861810604134,3.4174604074011286,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,best_drop_ref16,none,__composite_equal_v__,63,-0.7192780337941628,0.3587230769230767,0.1994589743589743,3.6013280411404485,3.576604612971138,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,arxiv,63,0.8493663594470046,0.07650000000000001,0.6502952380952383,3.524637698330588,3.428756236687026,1.0486,2.3615,1.3129,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,freelaw,63,0.7743855606758833,0.0,0.7707428571428568,3.478410597555172,3.4499223372168246,0.9749,2.4423,1.4674,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,pubmed_central,63,0.7438076036866359,0.0,0.7131380952380946,3.514367396324689,3.458598351330095,1.0114,2.1906,1.1791999999999998,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,wikipedia_en,63,0.3184840266860799,0.2594000000000001,0.5561936507936507,3.863824564794665,3.84935960149055,1.3918,2.5116,1.1198000000000001,False,False,False,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,dm_mathematics,63,0.8332853302611367,0.0029000000000000137,0.7211063492063489,2.9383975189192424,2.7286765319669444,0.6258,1.9448,1.319,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,github,63,0.7978110599078341,0.0,0.6725555555555556,3.6580288516480723,3.575162852497745,1.1153,2.2485,1.1332,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,stackexchange,63,0.6573139559079791,0.10089999999999999,0.4341111111111111,3.572193325532547,3.516937420433142,1.3223,2.0749,0.7525999999999999,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,gutenberg_pg_19,63,0.41517857142857145,0.06570000000000009,0.502990476190476,3.602343601679112,3.589041147759467,1.3043,2.2052,0.9009,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,pile_cc,63,0.09240591397849462,0.09349999999999992,0.4624015873015874,3.805032210625666,3.7942612750378815,1.4675,2.4014,0.9339000000000002,False,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,ubuntu_irc,63,0.6110311059907834,0.058499999999999996,0.615215873015873,4.545065387167078,4.476168593981435,1.6397,2.9153,1.2755999999999998,False,False,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,hackernews,63,-0.014112903225806451,0.5118,0.38035873015873034,3.6076188817329453,3.5933524399928225,1.4418,2.2718,0.8299999999999998,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,pubmed_abstracts,63,0.34038978494623656,0.0,0.6093492063492063,3.6232511235184908,3.605754410881599,1.2101,2.2223,1.0122000000000002,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,uspto_backgrounds,63,0.4050547841927648,0.0,0.5972079365079366,3.4311020350984216,3.41740846999216,1.1278,2.1819,1.0541000000000003,True,True,True,True,estimated/semi_synthetic — 仅一致性诊断
est_10b,extrapolation,forest_entropy,entropy,__composite_equal_v__,63,-0.7169258832565284,0.3587230769230767,0.1994589743589743,3.6000650892233153,3.5756461284052072,1.5979999999999999,1.9867230769230768,0.38872307692307695,False,False,False,False,estimated/semi_synthetic — 仅一致性诊断
