solution,sse,rmse,E,A,alpha,B,beta,kappa,rho,delta,dist_to_best
12,0.487398341028876,0.017813383403329303,1.6786833496821592,0.3699440416605836,0.3287739680347457,1.2355288757845238,0.2811094349779228,0.37531492209679373,0.5499554295964592,0.05876915741229466,6.071457992982829e-07
13,0.48739834102894475,0.01781338340333056,1.678683357292888,0.36994401604071114,0.3287739804466873,1.2355289005254857,0.28110942815952733,0.375314377417643,0.5499559072984852,0.05876914008463154,4.925212964326039e-07
14,0.4873983410290194,0.017813383403331922,1.6786833800627832,0.36994396010203334,0.32877403175130626,1.235528922884686,0.281109416798775,0.3753151344903965,0.5499548865552873,0.05876921398910437,9.695060226769672e-07
15,0.48739834102901947,0.017813383403331922,1.6786833355775375,0.36994387984959914,0.3287740761716403,1.2355290824936314,0.28110936611209075,0.3753132232117498,0.5499560387730522,0.05876922916334892,1.2750583154124425e-06
16,0.4873983410292352,0.017813383403335867,1.6786833122510014,0.36994391364606705,0.328774050935499,1.2355290756007618,0.281109369064986,0.3753131265385764,0.5499561828559865,0.05876921828096395,1.428304016108769e-06
17,0.4873983410292428,0.017813383403336002,1.678683384454776,0.3699439902597543,0.32877400940808527,1.2355288843492398,0.28110943033114066,0.37531529573071565,0.5499549590463944,0.05876918860147984,1.0758753945171535e-06
18,0.4873983410298576,0.01781338340334724,1.67868360215476,0.3699437182642965,0.3287742011798626,1.2355289139011438,0.28110941938790823,0.3753152997710131,0.5499547479569231,0.058769214034259325,1.2414678441458423e-06
19,0.4873983410302257,0.017813383403353967,1.6786833815417,0.3699440108304134,0.3287739975213996,1.2355288622361906,0.2811094371219593,0.37531562043386946,0.5499547290814227,0.058769191098479875,1.4713479565068886e-06
20,0.4873983410307892,0.017813383403364264,1.6786831879905175,0.3699440000548254,0.32877398783479356,1.2355291392469203,0.28110934875708915,0.3753124432171674,0.5499565217414588,0.05876923644725847,2.198584837938658e-06
21,0.4873983410312842,0.01781338340337331,1.6786832636884148,0.3699438924376365,0.3287740635375027,1.2355291640579136,0.28110933981399144,0.3753123528056614,0.5499564711240171,0.05876925047182784,2.250853331686478e-06
22,0.48739834103147284,0.017813383403376754,1.678683293118246,0.3699438649826289,0.3287740821154439,1.2355291581461865,0.28110934187445674,0.37531237447724713,0.5499565045228699,0.058769242982371454,2.2468502145566633e-06
23,0.4873983410316599,0.017813383403380175,1.6786834035218405,0.3699440221276574,0.3287739913943929,1.2355288195660137,0.2811094510529076,0.3753160489181019,0.5499545302671689,0.05876917890295409,1.945477226079784e-06
24,0.4873983410317445,0.01781338340338172,1.6786834120328518,0.3699440355499286,0.328773980431804,1.2355287949444773,0.28110945985157015,0.3753160950897267,0.5499546370227356,0.058769159331175706,1.9436935748970734e-06
25,0.48739834103216156,0.01781338340338934,1.6786834040488705,0.36994402546403227,0.32877399000469054,1.2355288141639367,0.28110945261625314,0.37531615987567263,0.5499544427640236,0.05876918096905213,2.084578715224979e-06
26,0.4873983410323778,0.017813383403393293,1.6786832144931851,0.36994393148418503,0.3287740342320987,1.235529184824675,0.2811093336383624,0.3753120402004305,0.5499566833948255,0.058769250500055895,2.628143259492649e-06
27,0.4873983410327992,0.017813383403400995,1.678683412594948,0.36994402891637085,0.3287739882678363,1.2355287986682544,0.2811094576612067,0.3753163112170448,0.5499543672467571,0.058769177456903014,2.254573628934688e-06
28,0.4873983410329869,0.017813383403404423,1.6786833963029952,0.3699440390913065,0.3287739820256841,1.2355288070823522,0.2811094545900285,0.375316300648701,0.5499543101255998,0.058769186965623416,2.272460676733811e-06
29,0.48739834103316987,0.017813383403407768,1.6786834157061616,0.36994403174437196,0.3287739867942937,1.2355287909201609,0.2811094601042465,0.37531638863056005,0.5499543211807075,0.05876917677808737,2.345057196927175e-06
30,0.4873983410337179,0.01781338340341778,1.6786834299133666,0.36994403289653893,0.3287739859454928,1.2355287714230851,0.2811094666726106,0.37531653497754364,0.5499542970153845,0.058769166196453206,2.4872928163973805e-06
31,0.487398341034846,0.017813383403438396,1.6786832920563017,0.36994406804726,0.3287739681325547,1.2355289017726432,0.28110942112031495,0.37531605912414223,0.5499539025393316,0.05876926978468924,2.312408442067259e-06
32,0.48739834103556606,0.017813383403451555,1.6786834274000282,0.3699440529187761,0.32877397435556205,1.2355287495297351,0.2811094734215577,0.37531684537860244,0.5499540763839175,0.058769168728970374,2.8658473446654943e-06
