solution,sse,rmse,kappa,rho,delta,dist_to_best
51,1.6404386037385417,0.032680175682549197,0.3820950202260717,0.5386734001164092,0.05943226006222951,7.474237790602135e-06
52,1.6404386037390857,0.032680175682554616,0.3820950059237646,0.5386734061357257,0.05943226061837442,7.489685550074929e-06
53,1.6404386037436056,0.032680175682599635,0.3820948902772124,0.5386734571819363,0.05943226474443426,7.615730211722685e-06
54,1.6404386037522987,0.032680175682686226,0.38210734502200777,0.538666616169146,0.05943202839411345,6.596377266257372e-06
55,1.6404386037528587,0.032680175682691805,0.3820946756926361,0.5386735713706022,0.05943226939397168,7.858843108331287e-06
56,1.640438603757288,0.03268017568273592,0.38209457904244987,0.5386736275159008,0.059432270760140675,7.970574822879603e-06
57,1.6404386037599217,0.03268017568276216,0.3821076830673624,0.5386666939117009,0.05943198129616742,6.858475375209493e-06
58,1.6404386037640388,0.03268017568280317,0.382094527160492,0.5386737782074282,0.05943225286978046,8.088404702062694e-06
59,1.6404386037670038,0.0326801756828327,0.38209440792186167,0.5386737746536181,0.059432265804172615,8.191154918540664e-06
60,1.6404386038052543,0.03268017568321371,0.38209362183490075,0.5386741930170461,0.059432282829517444,9.08172571396045e-06
61,1.640438603807285,0.032680175683233934,0.3820935638649338,0.5386741999248227,0.0594322877856843,9.135986921133814e-06
62,1.6404386038215282,0.032680175683375806,0.38209329589545193,0.538674346494369,0.05943229297935541,9.44146521912823e-06
63,1.6404386038235717,0.032680175683396165,0.38209337250424497,0.5386744490641389,0.059432269176172406,9.423741855008172e-06
