functional,omega,scale_s,scenario,delta,h,loss_h1,loss_with_h,dLoss,N,D,Q
quality_linear,0.0,0.0042798423176393504,shift_github_up__pubmed_abstracts_down,1.0968926332503828,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_github_up__uspto_backgrounds_down,1.0968926332503828,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_philpapers_up__arxiv_down,1.1723991506222478,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_philpapers_up__freelaw_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_philpapers_up__pubmed_central_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_philpapers_up__wikipedia_en_down,-0.3665275332404914,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_philpapers_up__github_down,-1.3100321785747664,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,reference_p0,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_arxiv_up__freelaw_down,-0.9816522163185311,1.6336652468475261,2.3489103009426024,2.3097454432158426,-0.039164857726759816,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_arxiv_up__pubmed_central_down,-0.9816522163185311,1.6336652468475261,2.3489103009426024,2.3097454432158426,-0.039164857726759816,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_arxiv_up__wikipedia_en_down,-1.402650663907897,2.0164233676457526,2.3489103009426024,2.2945288337819725,-0.05438146716062997,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_arxiv_up__github_down,-2.262605482454893,3.099691967487562,2.3489103009426024,2.2660981410757848,-0.08281215986681767,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_arxiv_up__stackexchange_down,0.39071913127711705,0.8225388481714885,2.3489103009426024,2.36605851988711,0.017148218944507576,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_arxiv_up__pile_cc_down,-1.4589749233602975,2.0740173218565494,2.3489103009426024,2.292560192351035,-0.056350108591567416,1.0,150.0,1.0
quality_linear,0.5,0.0042798423176393504,shift_arxiv_up__pubmed_abstracts_down,-0.9816522163185311,1.6336652468475261,2.3489103009426024,2.3097454432158426,-0.039164857726759816,1.0,150.0,1.0
