domain_up,domain_down,delta,Q_before,Q_after,dQ,h1,h2,dh_over_h,loss_h1_equiv,loss_with_h2,dLoss,functional,omega
philpapers,pubmed_central,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
philpapers,wikipedia_en,0.05,0.41663254110330095,0.41820122115064357,0.0015686800473426188,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
philpapers,github,0.05,0.41663254110330095,0.4222392722586345,0.005606731155333555,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
philpapers,stackexchange,0.05,0.41663254110330095,0.4097801753790527,-0.006852365724248244,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
philpapers,pile_cc,0.05,0.41663254110330095,0.41846570043883785,0.0018331593355369047,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
philpapers,pubmed_abstracts,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
philpapers,uspto_backgrounds,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
stackexchange,arxiv,0.05,0.41663254110330095,0.41830475737565204,0.0016722162723510903,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
stackexchange,freelaw,0.05,0.41663254110330095,0.42237004099543535,0.005737499892134401,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
stackexchange,pubmed_central,0.05,0.41663254110330095,0.42237004099543535,0.005737499892134401,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
stackexchange,wikipedia_en,0.05,0.41663254110330095,0.42430788104391,0.007675339940609038,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
