C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+22,131072,logarithmic,fixed_ref,0.0,0.0,0.16537892080023872,0.7225515302376299,0.11206954896213173,-2.097152e-16,1.0000000000000002,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+22,131072,logarithmic,mixture,0.0,0.0,0.16826116296256166,0.7351442383942962,0.09659459864314231,-2.097152e-16,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+24,2048,exponential,fixed_ref,0.0,0.0,0.8497683307432008,0.05801085137873584,0.09222081787806331,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+24,2048,exponential,mixture,0.0,0.0,0.8509414802913917,0.058090938387892345,0.09096758132071603,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+24,4096,exponential,fixed_ref,0.0,0.0,0.8009810518941618,0.10936061295194956,0.08965833515388853,0.0,0.9999999999999999,0.13653333333333334,0.0,True,True,True,True,True
1e+24,4096,exponential,mixture,0.0,0.0,0.8020560807451631,0.10950739022440627,0.08843652903043063,1.3421772800000001e-16,1.0000000000000002,0.13653333333333334,0.0,True,True,True,True,True
1e+24,8192,exponential,fixed_ref,0.0,0.0,0.7186149699898399,0.19622979447189232,0.08515523553826786,-1.3421772800000001e-16,0.9999999999999999,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+24,8192,exponential,mixture,0.0,0.0,0.719516104697283,0.19647586432267142,0.08400803098004549,1.3421772800000001e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+24,32768,exponential,fixed_ref,0.0,0.0,0.4456591011521924,0.48677858088516807,0.06756231796263952,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+24,32768,exponential,mixture,0.0,1.128235192487359e-16,0.4461096801056248,0.4872707332567038,0.06661958663767165,-2.6843545600000003e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+24,131072,exponential,fixed_ref,0.0,0.0,0.17830411443886124,0.7790225629243471,0.042673322636791654,0.0,1.0,4.369066666666665,1.7763568394002505e-15,True,True,True,True,True
1e+24,131072,exponential,mixture,1.3421772800000001e-16,0.0,0.1784253042548519,0.7795520493097315,0.0420226464354166,0.0,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+24,2048,power,fixed_ref,0.0,0.0,0.8334688725739745,0.056898141701049995,0.10963298572497553,-1.3421772800000001e-16,0.9999999999999999,0.06826666666666667,0.0,True,True,True,True,True
1e+24,2048,power,mixture,0.0,0.0,0.8356800640617135,0.05704909237327964,0.10727084356500674,2.6843545600000003e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+24,4096,power,fixed_ref,0.0,0.0,0.7859745380993676,0.10731172360183365,0.10671373829879877,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+24,4096,power,mixture,0.0,0.0,0.7880040605490335,0.10758882106696137,0.10440711838400514,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+24,8192,power,fixed_ref,0.0,0.0,0.705745379483137,0.19271553829086197,0.10153908222600101,1.3421772800000001e-16,1.0000000000000002,0.2730666666666667,0.0,True,True,True,True,True
1e+24,8192,power,mixture,0.0,0.0,0.7075136650197247,0.19319839812805284,0.09928793685222241,0.0,0.9999999999999999,0.2730666666666667,0.0,True,True,True,True,True
1e+24,32768,power,fixed_ref,0.0,1.167101066773083e-16,0.4391634181949156,0.47968356291369985,0.08115301889138467,-2.6843545600000003e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+24,32768,power,mixture,0.0,0.0,0.4400424073987961,0.4806436535214583,0.07931393907974575,-1.3421772800000001e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+24,131072,power,fixed_ref,0.0,0.0,0.17660446387886455,0.7715966763176845,0.05179885980345105,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+24,131072,power,mixture,0.0,0.0,0.17683870363200374,0.772620085415133,0.0505412109528632,0.0,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+24,2048,logarithmic,fixed_ref,0.0,0.0,0.8984723574441698,0.061335712934855326,0.04019192962097512,-1.3421772800000001e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+24,2048,logarithmic,mixture,0.0,0.0,0.9044041826214579,0.06174065886695821,0.033855158511583834,0.0,1.0,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
1e+24,4096,logarithmic,fixed_ref,0.0,0.0,0.8455989515745205,0.11545244352164119,0.03894860490383843,-1.3421772800000001e-16,0.9999999999999999,0.13653333333333334,0.0,True,True,True,True,True
1e+24,4096,logarithmic,mixture,0.0,0.0,0.8510078947507335,0.11619094456330017,0.032801160685966335,1.3421772800000001e-16,1.0000000000000002,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+24,8192,logarithmic,fixed_ref,0.0,0.0,0.7566103135378395,0.2066050562833994,0.03678463017876109,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+24,8192,logarithmic,mixture,0.0,0.0,0.7611910924141335,0.20785591430188605,0.030952993283980608,-1.3421772800000001e-16,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+24,32768,logarithmic,fixed_ref,1.3421772800000001e-16,0.0,0.4643158982221673,0.5071567784314659,0.02852732334636692,-2.6843545600000003e-16,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+24,32768,logarithmic,mixture,0.0,0.0,0.4665095016485847,0.5095527783340275,0.02393772001738795,-1.3421772800000001e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+24,131072,logarithmic,fixed_ref,0.0,0.0,0.18300484439704298,0.7995603654936406,0.017434790109316353,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+24,131072,logarithmic,mixture,1.3421772800000001e-16,0.0,0.18353753661075878,0.8018877332881793,0.01457473010106199,0.0,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
