functional,omega,C,cost_form,ell,q0_mode,start,success,L_pred,N_B,Q,h,Q0,Q_ge_Q0,n_iter,message,Q_cand,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,14,True,1.8506733968374791,106.95312362632937,0.9999999999993142,913152.3750440612,0.41663254110330095,True,205,Optimization terminated successfully,0.475371913380385,0.11302252268468244,0.09682483053329011,0.0058896780701164645,0.11375418887891248,0.05218097951624601,0.025462853297488923,1.0196386368001734e-11,0.005487695467039558,0.39943242344351676,0.002211031519815582,9.628707595290918e-15,2.015600547100944e-12,0.019599996894571096,0.01273706333972967,0.01165082076817177,0.06618116428052441,0.07556475129367314
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,15,True,1.8506731784355719,106.33574304611749,0.9999999999999999,913152.4738085367,0.41663254110330095,True,263,Optimization terminated successfully,0.4753719138432829,0.11302252320070846,0.0968248314362239,0.0058896782299531,0.11375419103814137,0.05218095258267302,0.02546285353436934,3.6308338329882895e-17,0.005487694809071251,0.3994324157618661,0.0022110307285913167,9.137386961868435e-17,2.1424178337293176e-08,0.01959999591762188,0.012737064579588682,0.011650820685354807,0.06618116529605846,0.07556476077560002
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,16,False,1.8506732306076707,106.66938693155738,0.9999999999999978,913152.4985064204,0.41663254110330095,True,500,Iteration limit reached,0.4753719139590391,0.11302252425428531,0.09682483359894886,0.005889676585370619,0.1137541999914584,0.05218097345379732,0.02546285388570185,4.4743747632446576e-17,0.0054876950572839206,0.3994324134801733,0.0022110315303697837,1.9401411813545161e-16,1.8297634662438017e-14,0.01959999654464694,0.01273706280658585,0.011650820616422624,0.06618116619375375,0.07556475200118298
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,17,False,1.8506731736138118,106.34985073831224,0.9999999932888524,913152.6262253613,0.41663254110330095,True,500,Iteration limit reached,0.47537191455764327,0.11302252367879796,0.09682483079351,0.005889678942859165,0.11375419059549398,0.0521809707731319,0.025462854056946954,1.4282925918950315e-10,0.00548769543242199,0.39943242618572095,0.002211030390768816,6.891706055027866e-17,5.6012464017581516e-15,0.01959999704720598,0.012737063737482904,0.01165082087892384,0.066181165133471,0.07556475221042944
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,18,True,1.8506731833419956,106.4771502479566,0.9999999999999992,913152.4407578424,0.41663254110330095,True,163,Optimization terminated successfully,0.47537191368837806,0.11302252269076239,0.09682483048005924,0.0058896788832946585,0.11375419123677154,0.05218097117887591,0.025462851710045056,1.3692599997903741e-17,0.005487695557976223,0.3994324232579294,0.002211032933313264,7.030733019395233e-19,5.792691880574813e-09,0.019599997039217932,0.012737063538805478,0.011650819377965834,0.06618116439151889,0.07556475193077233
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,19,False,1.850673180662507,106.32049895371095,0.9999999999098452,913152.4355510385,0.41663254110330095,True,500,Iteration limit reached,0.47537191366397435,0.11302252559531638,0.09682483008401065,0.005889678472708395,0.11375419078137036,0.05218096748639224,0.025462853292750137,6.79503797385221e-14,0.00548769481631406,0.399432432458247,0.0022110284738373932,1.918743106454686e-15,1.0665314631202013e-08,0.019599998243189202,0.012737064199984837,0.011650813776282267,0.06618116472748445,0.07556474692672815
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,20,False,1.8506738006152692,105.43503017134324,0.9999999999999233,913152.2785448193,0.41663254110330095,True,500,Iteration limit reached,0.4753719129281039,0.11302252211490993,0.09682482954227623,0.005889679136340865,0.11375419015050156,0.05218098310730179,0.02546285197255324,3.1465334374340797e-16,0.005487693104486151,0.39943242415575264,0.0022110285564723455,2.849010493648591e-14,3.0567543056426654e-12,0.019599997569824404,0.012737064711814076,0.011650821932556255,0.06618116311611776,0.07556475082600722
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,21,False,1.8506733434878344,106.87612513167602,1.0,913152.3192725166,0.41663254110330095,True,500,Iteration limit reached,0.47537191311899,0.11302252121535551,0.09682483065630641,0.005889679654032433,0.11375419012589572,0.05218098165060263,0.025462852852729388,4.3487995517987576e-21,0.00548769618914578,0.39943242348347596,0.002211030053482616,2.7284679069169466e-17,6.274465053810076e-16,0.019599995723982806,0.012737063064606305,0.011650820161861017,0.06618116315108943,0.07556475201743346
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,22,False,1.8506731769336764,106.33219745470137,1.0,913152.5383724209,0.41663254110330095,True,500,Iteration limit reached,0.47537191414588653,0.11302252314393772,0.09682483104574126,0.005889679032705639,0.11375418984069958,0.052180973641769074,0.025462852897401186,6.463249762309366e-20,0.0054876962059027395,0.39943242344845103,0.002211031912830734,6.192013963632009e-19,7.509533871136837e-11,0.019599997160708937,0.012737063659174435,0.011650821229701286,0.06618116496614333,0.07556475173973771
quality_linear,1.0,1e+19,exponential,4096,fixed_ref,23,False,1.8506733067603456,106.81956321519091,0.9999999999999984,913152.3737308783,0.41663254110330095,True,500,Iteration limit reached,0.47537191337423024,0.1130225202623362,0.09682483045601606,0.005889679143239114,0.11375418925899339,0.052180979894011915,0.025462852412034765,1.5910848475970505e-11,0.005487696324754268,0.3994324241475488,0.002211031235076921,8.603163506865611e-16,2.0905255151840765e-12,0.019599997361740833,0.012737062893398918,0.011650820893320703,0.06618116466433936,0.07556475103518646
quality_linear,1.0,1e+19,power,4096,fixed_ref,0,True,1.8507049464848153,106.58563452202505,1.0,913152.380685679,0.41663254110330095,True,455,Optimization terminated successfully,0.4753719134068266,0.11302252238499454,0.09682483067249784,0.005889678783502166,0.11375418899633022,0.052180976803292034,0.025462852203857307,3.031001807678976e-21,0.005487695490533128,0.39943242344417007,0.0022110320100645646,1.2225055806790627e-24,2.470238785498861e-09,0.01959999678236037,0.01273706307773526,0.011650820860239016,0.06618116457680721,0.0755647514433775
quality_linear,1.0,1e+19,power,4096,fixed_ref,1,False,1.8507049618601765,106.71133698743051,1.0,913152.4742591387,0.41663254110330095,True,500,Iteration limit reached,0.47537191384539484,0.11302252253198905,0.09682483055699295,0.005889679803289688,0.11375418912676087,0.05218097613950113,0.025462851806309878,1.6151626710397654e-19,0.005487696043027005,0.399432424059662,0.0022110319305583544,0.0,3.311728653779996e-18,0.019599996493823112,0.012737062978710426,0.011650821408370506,0.0661811643629131,0.07556475275809199
quality_linear,1.0,1e+19,power,4096,fixed_ref,2,False,1.8507054887172758,105.64870677469875,1.0,913152.4850312148,0.41663254110330095,True,500,Iteration limit reached,0.47537191389588235,0.11302252346033512,0.09682483067570892,0.005889678842537428,0.11375418968936855,0.052180975581696126,0.025462852658302032,1.6643071568961903e-13,0.005487695530626442,0.3994324243745217,0.002211031638621218,2.667471539163581e-17,1.336441055415335e-10,0.019599996827267308,0.012737063383535984,0.011650820820764391,0.06618116470640562,0.07556475167649845
quality_linear,1.0,1e+19,power,4096,fixed_ref,3,False,1.8507049436806697,106.55776975654612,0.9999999997362438,913152.4444151289,0.41663254110330095,True,500,Iteration limit reached,0.47537191370551934,0.11302252323695569,0.09682483073943252,0.005889678345342733,0.11375418967793095,0.05218094187132702,0.02546285289182026,2.7430812265903447e-11,0.005487696432283475,0.3994324256197144,0.0022110313229939333,7.367097863625022e-13,3.4214071895927405e-08,0.019599996383969687,0.0127370636583353,0.011650820723195468,0.06618116393073142,0.07556475092372766
