functional,omega,C,cost_form,ell,q0_mode,kappa,candidate,source,trust_status,in_trust_box,in_trust_l1,N_B,D_B,Q,Q0,h,h_true,L_pred,c_quality,u,budget_residual,budget_residual_rel,boundary_n_lower,boundary_n_upper,boundary_q_lower,boundary_q_upper,n_evals,C_train,C_attn,C_quality,used,unused,share_train,share_attn,share_quality,share_unused,D_used,aliases,Q_cand,N_in_support,D_in_support,extrapolation,regime,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
quality_linear,0.5,1e+22,logarithmic,8192,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,14.719509335226661,87.82498737265423,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,2.0062273927095053,1429311596.453055,113862811702.64838,-2097152.0,-2.097152e-16,False,False,False,True,35185,7.756444328987686e+21,2.1180263981022377e+21,1.2552927291007782e+20,1.0000000000000002e+22,-2097152.0,0.7756444328987686,0.21180263981022376,0.012552927291007782,-2.097152e-16,87824987372.65424,dirichlet_a20_19,0.43829657372764846,False,True,N_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+22,logarithmic,32768,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,11.72519299848221,67.24730228853436,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,2.031174921568808,1511467178.4002495,148704850004.1465,0.0,0.0,False,False,False,True,35185,4.730925587762038e+21,5.167432321992883e+21,1.0164209024507966e+20,1e+22,0.0,0.47309255877620376,0.5167432321992883,0.010164209024507966,0.0,67247302288.534355,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+22,logarithmic,32768,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,11.71943478521715,67.31721660556305,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,2.0311458289467166,1429311596.453055,148550408116.15506,-2097152.0,-2.097152e-16,False,False,False,True,35185,4.733518379587398e+21,5.170264342077329e+21,9.62172783352734e+19,1.0000000000000002e+22,-2097152.0,0.4733518379587398,0.517026434207733,0.009621727833527341,-2.097152e-16,67317216605.56304,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+22,logarithmic,131072,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,7.626875668233886,40.45197956202208,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,2.0840611199066807,1511467178.4002495,247206690705.1539,0.0,0.0,False,False,False,True,35185,1.851133311920884e+21,8.087724848669803e+21,6.114183940931407e+19,1e+22,0.0,0.1851133311920884,0.8087724848669803,0.006114183940931407,0.0,40451979562.02208,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+22,logarithmic,131072,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,7.623130128467548,40.485194848928344,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,2.0840409454369024,1429311596.453055,247003874806.95804,0.0,0.0,False,False,False,True,35185,1.8517434516584692e+21,8.090390589859295e+21,5.786595848223477e+19,1e+22,0.0,0.18517434516584694,0.8090390589859295,0.005786595848223477,0.0,40485194848.928345,dirichlet_a20_19,0.43829657372764846,True,True,Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,2048,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,126.31065871285514,1229.236224142052,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,1.8415174618421466,3912487936.8349757,813513286022.7513,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,9.315938231105127e+23,6.3596804991011005e+22,4.809371898476353e+21,1.0000000000000001e+24,-134217728.0,0.9315938231105128,0.063596804991011,0.004809371898476353,-1.3421772800000001e-16,1229236224142.052,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,2048,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,126.24862786094292,1229.8628619982676,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,1.8415169767077686,3895580832.190464,813098785969.6902,0.0,0.0,False,False,False,True,35185,9.316109927064808e+23,6.359797710209577e+22,4.791030191423357e+21,1e+24,0.0,0.9316109927064808,0.06359797710209576,0.004791030191423357,0.0,1229862861998.2676,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,4096,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,122.79292180336135,1188.690352612148,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,1.842963265455576,3912487936.8349757,841261980298.3168,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,8.757765691002812e+23,1.1957269423449173e+23,4.6507366652271426e+21,1.0000000000000001e+24,-134217728.0,0.8757765691002811,0.11957269423449172,0.004650736665227142,-1.3421772800000001e-16,1188690352612.148,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,4096,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,122.79292180336135,1188.7142425733755,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,1.8429627919119884,3895580832.190464,841245073193.6722,0.0,0.0,False,False,False,True,35185,8.757941702091266e+23,1.1957509737255274e+23,4.630732418320647e+21,1e+24,0.0,0.8757941702091266,0.11957509737255274,0.0046307324183206475,0.0,1188714242573.3755,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,8192,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,116.62007955083686,1117.6889545405363,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,1.845647239718149,3912487936.8349757,894703303577.9473,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,7.820698487496543e+23,2.1355720669857228e+23,4.372944551773544e+21,1.0000000000000001e+24,-134217728.0,0.7820698487496542,0.21355720669857228,0.0043729445517735445,-1.3421772800000001e-16,1117688954540.5364,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,8192,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,116.62007955083686,1117.7100757783119,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,1.8456467867182433,3895580832.190464,894686396473.3027,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,7.820846277122318e+23,2.135612423406201e+23,4.354129947148142e+21,1.0000000000000001e+24,-134217728.0,0.7820846277122319,0.2135612423406201,0.004354129947148142,-1.3421772800000001e-16,1117710075778.3118,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,32768,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,93.0564898552747,853.1648378852058,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,1.8579711265108332,3912487936.8349757,1172106438984.0115,-268435456.0,-2.6843545600000003e-16,False,False,False,True,35185,4.7635515048925044e+23,5.2030685237439204e+23,3.3379971363576354e+21,1.0000000000000003e+24,-268435456.0,0.4763551504892504,0.520306852374392,0.0033379971363576354,-2.6843545600000003e-16,853164837885.2058,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,32768,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,93.0564898552747,853.1771445791919,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,1.857970753573595,3895580832.190464,1172089531879.367,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,4.763620217957149e+23,5.203143576733995e+23,3.323620530885692e+21,1.0000000000000001e+24,-134217728.0,0.4763620217957149,0.5203143576733995,0.003323620530885692,-1.3421772800000001e-16,853177144579.1919,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,131072,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,60.72394804283068,510.1785623531686,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,1.884107616283792,3912487936.8349757,1960098039767.7996,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,1.858803390773992e+23,8.121235934517622e+23,1.9960674708385827e+21,1.0000000000000001e+24,-134217728.0,0.1858803390773992,0.8121235934517622,0.0019960674708385828,-1.3421772800000001e-16,510178562353.16864,dirichlet_a20_19,0.43829657372764846,False,True,N_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,exponential,131072,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,60.72394804283068,510.1829630089361,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,1.8841073587561248,3895580832.190464,1960081132663.155,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,1.8588194242855225e+23,8.1213059859984e+23,1.987458971607748e+21,1.0000000000000001e+24,-134217728.0,0.18588194242855224,0.81213059859984,0.001987458971607748,-1.3421772800000001e-16,510182963008.9361,dirichlet_a20_19,0.43829657372764846,False,True,N_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,power,2048,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,126.43481186614949,1226.6237476248982,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,1.8415443232999245,4849345275.903549,815245915413.1754,134217728.0,1.3421772800000001e-16,False,False,False,True,35185,9.305276565690314e+23,6.352402135511255e+22,5.948322075855907e+21,9.999999999999998e+23,134217728.0,0.9305276565690315,0.06352402135511255,0.005948322075855907,1.3421772800000001e-16,1226623747624.8982,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,power,2048,mixture,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,126.43481186614949,1226.6747029046624,1.0,0.43829657372764846,12.565289070600741,12.565289070600741,1.8415433530874779,4815480483.878452,815212050621.1503,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,9.305663116962949e+23,6.35266602118004e+22,5.907028091904801e+21,1.0000000000000001e+24,-134217728.0,0.9305663116962949,0.0635266602118004,0.0059070280919048005,-1.3421772800000001e-16,1226674702904.6624,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
quality_linear,0.5,1e+24,power,4096,fixed_ref,0.8047071577351047,dirichlet_a20_19,dirichlet_around_p0|topQ,in,True,True,122.913617306017,1186.2088262405396,1.0,0.41663254110330095,12.565289070600741,12.565289070600741,1.8429894852934188,4849345275.903549,843021884409.0947,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,8.748073062812958e+23,1.1944035755093958e+23,5.752336167764655e+21,1.0000000000000001e+24,-134217728.0,0.8748073062812958,0.11944035755093958,0.005752336167764655,-1.3421772800000001e-16,1186208826240.5396,dirichlet_a20_19,0.43829657372764846,False,False,N_above_support;D_above_support;Q_above_A_supported,upper_bound,0.12725546748977906,0.04967201114118213,0.0003141777653633049,0.05601973705114616,0.033517558987981394,0.00018459431506036742,0.09188128337370738,8.910657060262394e-05,0.30137023601809015,2.4921988098818152e-08,0.03467398948322252,0.1731232213893753,0.005107366341015014,3.465640148608479e-07,0.015259549326868222,0.07072157430785242,0.04080975495275117
