candidate,source,in_trust_box,in_trust_l1,trust_status,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds,select_rank,select_rank_low,Q,delta,aliases,delta_ref,delta_mixture_l1,is_p0
shift_uspto_backgrounds_up__wikipedia_en_down,simplex_perturbation,True,True,in,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.02507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.12556475309333587,,,0.41820122115064357,-0.3665275332404914,shift_uspto_backgrounds_up__wikipedia_en_down,-0.3665275332404914,1.0000000000000004,False
shift_uspto_backgrounds_up__github_down,simplex_perturbation,True,True,in,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.06070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.12556475309333587,,,0.4222392722586345,-1.3100321785747664,shift_uspto_backgrounds_up__github_down,-1.3100321785747664,1.0000000000000004,False
shift_uspto_backgrounds_up__stackexchange_down,simplex_perturbation,True,True,in,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.049432423444130166,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.12556475309333587,,,0.4097801753790527,1.6010790154595766,shift_uspto_backgrounds_up__stackexchange_down,1.6010790154595766,1.0000000000000004,False
shift_uspto_backgrounds_up__pile_cc_down,simplex_perturbation,True,True,in,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.06948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.06618116611257162,0.12556475309333587,,,0.41846570043883785,-0.428324036140665,shift_uspto_backgrounds_up__pile_cc_down,-0.428324036140665,1.0000000000000004,False
shift_uspto_backgrounds_up__pubmed_abstracts_down,simplex_perturbation,True,True,in,0.11302252583269279,0.0968248321520278,0.00588968021709595,0.11375419105058357,0.07507775607983627,0.0254628540970504,0.11070066007050916,0.005487697351193036,0.09943242344413017,0.002211033043406226,0.04691494424753537,0.11948759779188561,0.019599998284005892,0.012737064754031531,0.011650822378108678,0.016181166112571616,0.12556475309333587,,,0.41663254110330095,0.0,shift_uspto_backgrounds_up__pubmed_abstracts_down,0.0,1.0000000000000004,False
dirichlet_a200_0,dirichlet_around_p0,True,True,in,0.06899431914885519,0.1335252001409432,0.008329580337601757,0.11472198253568104,0.07948519697921265,0.01676323971787137,0.0791381347320553,0.0028880639993809124,0.12063437381556523,0.00045764818005469056,0.04441853885098863,0.13493574518579848,0.0271201405719786,0.016519567505088855,0.0020757916690215625,0.037674657515867065,0.11231781911403546,,,0.4182239719720059,-0.37184334155159665,dirichlet_a200_0,-0.37184334155159665,2.584426186379453,False
dirichlet_a200_1,dirichlet_around_p0,True,True,in,0.09849606106423658,0.12505153204732172,0.0035526733211543662,0.11516916101132281,0.07877742840459862,0.013198849144329464,0.1223466740963667,0.001324208913022586,0.07327050075820783,2.8909419241356127e-06,0.03527889073430843,0.11714347343920001,0.03249874140984121,0.009107161052175086,0.015352798714168135,0.0955930119991762,0.06383594294864627,,,0.4117969962957837,1.1298418139349595,dirichlet_a200_1,1.1298418139349595,1.8199984311030468,False
dirichlet_a200_2,dirichlet_around_p0,True,True,in,0.12591500512977263,0.1022081514160939,0.013450499324114393,0.09510677005258072,0.08324150371968321,0.011819988281449,0.10938738778830094,0.003914259513419683,0.11781422078618298,0.004834190337353846,0.03886087019538425,0.1416490752540418,0.010850835944084397,0.016522754915934103,0.00830778942917145,0.05563861342107803,0.060478084491354674,,,0.41987842218216304,-0.7584113707844342,dirichlet_a200_2,-0.7584113707844342,1.6190497513614104,False
dirichlet_a200_3,dirichlet_around_p0,True,True,in,0.08621261344541965,0.1013935715237712,0.006340123436478563,0.11799136000842624,0.050133655217940706,0.03314226701120971,0.15456391334776257,0.009015551816256082,0.10831231465004937,0.0003101266804341684,0.043525258783943095,0.08457450771437976,0.017520282096253087,0.01961769617775356,0.0065903311729546095,0.07653453706502442,0.0842218898519433,,,0.4128175703487907,0.8913811471013491,dirichlet_a200_3,0.8913811471013491,1.9819580509229167,False
dirichlet_a200_4,dirichlet_around_p0,True,True,in,0.08670565074247615,0.07549008211700294,0.008356631261811326,0.1284728515746661,0.09024663003349082,0.038319636086820666,0.1081844033965912,0.0033642081832808797,0.0753669243498296,0.0004222013996770419,0.0700740504944891,0.1473584965119349,0.03385788373909504,0.0055786126108903055,0.011461577361255875,0.0696172512203422,0.04712290891634583,,,0.40770338330713346,2.0863286853737586,dirichlet_a200_4,2.0863286853737586,2.2787048608417106,False
