L,Q,h,c_quality,u,budget_residual,budget_residual_rel,boundary_n_lower,boundary_n_upper,boundary_q_lower,boundary_q_upper,n_evals,C_train,C_attn,C_quality,used,unused,share_train,share_attn,share_quality,share_unused,D_used,functional,omega,C,cost_form,ell,q0_mode,kappa,candidate,aliases,source,trust_status,in_trust_box,in_trust_l1,h_true,Q0,Q_cand,N_B,D_B
2.6181259633503955,1.0,0.0001324730473146344,1665164327.5952492,7875190464.2827015,0.0,0.0,False,False,False,True,35185,6.938253832312503e+23,9.473029232384006e+22,2.114443244449095e+23,1e+24,0.0,0.6938253832312503,0.09473029232384006,0.21144432444490951,0.0,126981055827845.72,quality_linear,1.0,1e+24,logarithmic,4096,mixture,0.8047071577351047,dirichlet_a20_17,dirichlet_a20_17,dirichlet_around_p0|lowQ,outside,False,False,0.0001324730473146344,0.37841726689299515,0.37841726689299515,0.9106678403166724,126981.05582784572
2.201540587798646,1.0,0.00514249035916443,1600748814.7096677,27934138222.90871,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,8.294482705191544e+23,1.1324733720154855e+23,5.7304392279297096e+22,1.0000000000000001e+24,-134217728.0,0.8294482705191544,0.11324733720154855,0.057304392279297095,-1.3421772800000001e-16,35798491151586.8,quality_linear,1.0,1e+24,logarithmic,4096,mixture,0.8047071577351047,dirichlet_a20_18,dirichlet_a20_18,dirichlet_around_p0|lowQ,box_only,True,False,0.00514249035916443,0.39407683989185316,0.39407683989185316,3.8616537729057723,35798.49115158679
1.7110609898452476,1.0,14352791.931543907,1255529360.3491163,68193255529360.35,0.0,0.0,False,True,False,True,35185,8.79852406726164e+23,1.2012918193167894e+23,1.8411342156975522e+19,1e+24,0.0,0.879852406726164,0.12012918193167894,1.8411342156975523e-05,0.0,14664206778.769402,quality_linear,1.0,1e+24,logarithmic,4096,mixture,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,14352791.931543907,0.4871620101591301,0.4871620101591301,10000.0,14.664206778769401
1.7110609898452476,1.0,14352791.931543907,1255529360.3491163,68193255529360.35,0.0,0.0,False,True,False,True,35185,8.79852406726164e+23,1.2012918193167894e+23,1.8411342156975522e+19,1e+24,0.0,0.879852406726164,0.12012918193167894,1.8411342156975523e-05,0.0,14664206778.769402,quality_linear,1.0,1e+24,logarithmic,4096,mixture,0.8047071577351047,slsqp_maxQ_nol1,slsqp_maxQ_nol1,numeric_slsqp_reference,box_only,True,False,14352791.931543907,0.4871620101591301,0.4871620101591301,10000.0,14.664206778769401
2.155356338656789,1.0,0.010442306059782242,1511467178.4002495,39220239842.62819,0.0,0.0,False,False,False,True,35185,7.552330816570404e+23,2.062289801644825e+23,3.85379381784771e+22,1e+24,0.0,0.7552330816570404,0.2062289801644825,0.0385379381784771,0.0,25497039386105.625,quality_linear,1.0,1e+24,logarithmic,8192,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,0.010442306059782242,0.41663254110330095,0.39710837194347914,4.936737099946053,25497.039386105625
2.258533416076638,1.0,0.0029200944731374795,1511467178.4002495,23414070144.07944,134217728.0,1.3421772800000001e-16,False,False,False,True,35185,7.347974976251195e+23,2.0064870335149933e+23,6.4553799023380996e+22,9.999999999999998e+23,134217728.0,0.7347974976251195,0.20064870335149934,0.064553799023381,1.3421772800000001e-16,42709362099218.93,quality_linear,1.0,1e+24,logarithmic,8192,fixed_ref,0.8047071577351047,dirichlet_a20_8,dirichlet_a20_8,dirichlet_around_p0|lowQ,box_only,True,False,0.0029200944731374795,0.41663254110330095,0.39165478511524476,2.867433358514766,42709.36209921893
1.8530481252044968,1.0,9.265190352584336,1511467178.4002495,775549672526.2935,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,7.83973949022191e+23,2.14077153012993e+23,1.9488979648160528e+21,1.0000000000000001e+24,-134217728.0,0.7839739490221911,0.214077153012993,0.0019488979648160528,-1.3421772800000001e-16,1289408061694.5874,quality_linear,1.0,1e+24,logarithmic,8192,fixed_ref,0.8047071577351047,dirichlet_a20_9,dirichlet_a20_9,dirichlet_around_p0|topQ,box_only,True,False,9.265190352584336,0.41663254110330095,0.42616060171350606,101.33512323888422,1289.4080616945873
2.629348694289627,1.0,0.0001324730473146344,1511467178.4002495,7924385826.589226,0.0,0.0,False,False,False,True,35185,6.35680619837012e+23,1.735831879234934e+23,1.9073619223949467e+23,1e+24,0.0,0.6356806198370121,0.1735831879234934,0.19073619223949467,0.0,126192745013075.03,quality_linear,1.0,1e+24,logarithmic,8192,fixed_ref,0.8047071577351047,dirichlet_a20_17,dirichlet_a20_17,dirichlet_around_p0|lowQ,outside,False,False,0.0001324730473146344,0.41663254110330095,0.37841726689299515,0.8395630823456451,126192.74501307504
2.2099978724199514,1.0,0.00514249035916443,1511467178.4002495,29340347343.255985,0.0,0.0,False,False,False,True,35185,7.45039558894815e+23,2.034454688822108e+23,5.151497222297429e+22,1e+24,0.0,0.745039558894815,0.2034454688822108,0.05151497222297429,0.0,34082759426835.98,quality_linear,1.0,1e+24,logarithmic,8192,fixed_ref,0.8047071577351047,dirichlet_a20_18,dirichlet_a20_18,dirichlet_around_p0|lowQ,box_only,True,False,0.00514249035916443,0.41663254110330095,0.39407683989185316,3.643286573740016,34082.75942683598
1.711248370539271,1.0,14352791.931543907,1511467178.4002495,76385511467178.4,134217728.0,1.3421772800000001e-16,False,True,False,True,35185,7.854892747007527e+23,2.1449093794495224e+23,1.9787354294926754e+19,9.999999999999998e+23,134217728.0,0.7854892747007527,0.21449093794495225,1.9787354294926756e-05,1.3421772800000001e-16,13091487911.679213,quality_linear,1.0,1e+24,logarithmic,8192,fixed_ref,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,14352791.931543907,0.41663254110330095,0.4871620101591301,10000.0,13.091487911679213
