C,log10_C,cost_form,ell,kappa,Q0,N_B,D_B,Q,h,L_pred,share_train,share_attn,share_quality,share_unused,regime,flag_q_at_lower,flag_q_at_upper,flag_n_at_lower,flag_n_at_upper,budget_residual_rel,N_in_support,D_in_support,functional,omega,candidate,q0_mode,d_share_train_dlogC,d_share_attn_dlogC,d_share_quality_dlogC,d_share_unused_dlogC,dlog10Q_dlogC,dlog10N_dlogC
2.5118864315095717e+21,21.4,exponential,8192,0.8047071577351047,0.41663254110330095,2.8993011869111873,98.38841968209273,0.9766116318379136,1.0,2.2814868486453275,0.6813787240958401,0.18606181692643742,0.13255945897772253,-2.0872281223515268e-16,interior,False,False,False,False,-2.0872281223515268e-16,True,True,mixture_l1,1.0,reference_p0,mixture,0.012639143661143937,0.003451328829070066,-0.016090472490213448,-6.569161308600371e-16,0.06686453246366289,0.46666666666666146
3.1622776601683794e+21,21.5,exponential,8192,0.8047071577351047,0.41663254110330095,3.2278003672344795,111.46385175686203,0.9916435852443375,1.0,2.25966260476298,0.682640362987629,0.18640632845315527,0.1309533085592157,0.0,interior,False,False,False,False,0.0,True,True,mixture_l1,1.0,reference_p0,mixture,0.027481286902583335,0.007504223410198851,-0.03498551031278252,1.0436140611757485e-15,0.0513905369943899,0.45013333333333616
3.9810717055349854e+21,21.6,exponential,8192,0.8047071577351047,0.41663254110330095,3.5671387311242264,127.76339619838585,1.0,1.0,2.2386675298457535,0.6868749814763568,0.1875626616084772,0.12556235691516593,0.0,upper_bound,False,True,False,False,0.0,True,True,mixture_l1,1.0,reference_p0,mixture,0.05914517972834199,0.016150577077819084,-0.07529575680616041,0.0,0.018221965717545245,0.41493333333333426
5.011872336272714e+21,21.7,exponential,8192,0.8047071577351047,0.41663254110330095,3.9074491350843683,148.45968339677356,1.0,1.0,2.218527627034995,0.6944693989332972,0.18963644386871903,0.11589415719798381,0.0,upper_bound,False,True,False,False,0.0,True,True,mixture_l1,1.0,reference_p0,mixture,0.07374590232401435,0.02013754772794385,-0.09388345005195675,-1.6618809641780487e-15,0.0,0.3978666666666548
6.309573444801943e+21,21.8,exponential,8192,0.8047071577351047,0.41663254110330095,4.284432779158548,172.21062890557633,1.0,1.0,2.1992117333645513,0.7016241619411596,0.19159017115406596,0.10678566690477466,-3.3237619283562036e-16,upper_bound,False,True,False,False,-3.3237619283562036e-16,True,True,mixture_l1,1.0,reference_p0,mixture,0.06921969453117827,0.018901591253313477,-0.08812128578449135,-6.600394862986502e-16,0.0,0.40106666666667534
7.943282347242789e+21,21.9,exponential,8192,0.8047071577351047,0.41663254110330095,4.700095330373884,199.51130198068464,1.0,1.0,2.180677814275958,0.7083133378395328,0.19341676211938172,0.09826990004108559,-1.320078972597485e-16,upper_bound,False,True,False,False,-1.320078972597485e-16,True,True,mixture_l1,1.0,reference_p0,mixture,0.06496986979636121,0.017741105779060073,-0.08271097557542234,1.6618809641781199e-15,0.0,0.40533333333333443
1e+22,22.0,exponential,8192,0.8047071577351047,0.41663254110330095,5.163688077570455,230.65495215991172,1.0,1.0,2.1628865766765566,0.7146181359004318,0.19513839230987795,0.09024347178969029,0.0,upper_bound,False,True,False,False,0.0,True,True,mixture_l1,1.0,reference_p0,mixture,0.06085615270064926,0.016617786764124065,-0.07747393946477321,6.600394862987331e-16,0.0,0.4095999999999864
1.2589254117941714e+22,22.1,exponential,8192,0.8047071577351047,0.41663254110330095,5.675794550050719,266.3463602438439,1.0,1.0,2.1458012827212727,0.7204845683796628,0.19674031947220658,0.08277511214813073,0.0,upper_bound,False,True,False,False,0.0,True,True,mixture_l1,1.0,reference_p0,mixture,0.056574552112683474,0.015448624363569752,-0.0720231764762535,6.6160672844569e-16,0.0,0.41173333333335016
1.584893192461111e+22,22.2,exponential,8192,0.8047071577351047,0.41663254110330095,6.241754264643197,307.212335538706,1.0,1.0,2.1293875562527993,0.7259330463229684,0.1982281171825919,0.07583883649443962,1.3232134568913284e-16,upper_bound,False,True,False,False,1.3232134568913284e-16,True,True,mixture_l1,1.0,reference_p0,mixture,0.05262400852704774,0.014369862595119298,-0.06699387112216681,-1.051065809375819e-15,0.0,0.4149333333333347
1.995262314968883e+22,22.3,exponential,8192,0.8047071577351047,0.41663254110330095,6.8708953411867455,353.80043298402785,1.0,1.0,2.113613223535026,0.7310093700850723,0.19961429199123043,0.06937633792369743,-2.1021316187517993e-16,upper_bound,False,True,False,False,-2.1021316187517993e-16,True,True,mixture_l1,1.0,reference_p0,mixture,0.0488634011385054,0.013342966070887918,-0.06220636720939271,-6.616067284455684e-16,0.0,0.41813333333332015
2.511886431509572e+22,22.4,exponential,8192,0.8047071577351047,0.41663254110330095,7.567167257947211,407.0235640172344,1.0,1.0,2.0984481383287927,0.7357057265506695,0.20089671039676946,0.06339756305256111,0.0,upper_bound,False,True,False,False,0.0,True,True,mixture_l1,1.0,reference_p0,mixture,0.04517105601460347,0.012334709695720925,-0.05750576571032451,3.878881174182182e-16,0.0,0.42026666666666834
3.1622776601683792e+22,22.5,exponential,8192,0.8047071577351047,0.41663254110330095,8.338091692337658,467.7775545069832,1.0,1.0,2.0838640408924034,0.7400435812879929,0.20208123393037458,0.057875184781632595,-1.3263553839154874e-16,upper_bound,False,True,False,False,-1.3263553839154874e-16,True,True,mixture_l1,1.0,reference_p0,mixture,0.04169225526246523,0.011384765170337374,-0.053077020432803046,0.0,0.0,0.4223999999999988
3.981071705534985e+22,22.6,exponential,8192,0.8047071577351047,0.41663254110330095,9.19207021959774,537.0740127740278,1.0,1.0,2.0698344146941383,0.7440441776031627,0.20317366343083698,0.05278215896600035,0.0,upper_bound,False,True,False,False,0.0,True,True,mixture_l1,1.0,reference_p0,mixture,0.03851223507081514,0.01051640765667039,-0.04902864272748539,-1.7369597891463475e-16,0.0,0.4256000000000011
5.011872336272714e+22,22.7,exponential,8192,0.8047071577351047,0.41663254110330095,10.14347274624536,615.7666983746697,1.0,1.0,2.0563343528674207,0.7477460283021559,0.20418451546170868,0.04806945623613554,-1.673747341744649e-16,upper_bound,False,True,False,False,-1.673747341744649e-16,True,False,mixture_l1,1.0,reference_p0,mixture,0.03544223652650702,0.009678093387504916,-0.045120329914011575,-6.64752385671279e-16,0.0,0.42773333333332975
6.309573444801943e+22,22.8,exponential,8192,0.8047071577351047,0.41663254110330095,11.193347841758001,705.6760453689959,1.0,1.0,2.0433404349121056,0.7511326249084641,0.20510928210833795,0.04375809298319808,-1.3295047713424815e-16,upper_bound,False,True,False,False,-1.3295047713424815e-16,True,False,mixture_l1,1.0,reference_p0,mixture,0.03248450989427143,0.008870436835129558,-0.041354946729401626,8.36873670872345e-16,0.0,0.4288000000000034
7.94328234724279e+22,22.9,exponential,8192,0.8047071577351047,0.41663254110330095,12.357956628098444,808.0036656992892,1.0,1.0,2.0308306212051783,0.7542429302810102,0.20595860282873454,0.03979846689025523,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.029883563542027147,0.00816020508454307,-0.038043768626570856,6.647523856712668e-16,0.0,0.4320000000000075
1.0000000000000001e+23,23.0,exponential,8192,0.8047071577351047,0.41663254110330095,13.65714750302611,923.9476221140025,1.0,1.0,2.018784139009373,0.7571093376168695,0.20674132312524654,0.036149339257883946,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.02739488787701294,0.007480630716283132,-0.03487551859329652,6.663308184433869e-16,0.0,0.4341333333333379
