C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+22,8192,logarithmic,fixed_ref,0.0,0.0,0.7546850925948908,0.20607934261791158,0.03923556478719766,0.0,1.0,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+22,8192,logarithmic,mixture,0.0,0.0,0.7562288607317752,0.20650089423715676,0.037270245031068155,-2.097152e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,32768,logarithmic,fixed_ref,0.0,0.0,0.4633887202026978,0.5061440527867334,0.030467227010568986,-2.097152e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+22,32768,logarithmic,mixture,0.0,0.0,0.4641310401554597,0.5069548641271368,0.028914095717403564,-2.097152e-16,0.9999999999999998,1.0922666666666667,0.0,True,True,True,True,True
1e+22,131072,logarithmic,fixed_ref,0.0,0.0,0.18277881955480235,0.7985728478895684,0.01864833255562935,0.0,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,131072,logarithmic,mixture,0.0,0.0,0.1829595141811338,0.7993623147583189,0.017678171060547566,-2.097152e-16,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+24,2048,exponential,fixed_ref,0.0,0.0,0.9222774797184193,0.06296080928211077,0.01476171099946995,0.0,1.0,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
1e+24,2048,exponential,mixture,0.0,0.0,0.9223363155961005,0.06296482581136047,0.01469885859253889,1.3421772800000001e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+24,4096,exponential,fixed_ref,0.0,0.0,0.8673014697806731,0.11841556067405458,0.014282969545272313,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+24,4096,exponential,mixture,0.0,0.0,0.867355004018966,0.11842286988205615,0.014222126098977871,0.0,1.0,0.1365333333333333,2.7755575615628914e-17,True,True,True,True,True
1e+24,8192,exponential,fixed_ref,0.0,0.0,0.774946957130586,0.21161218242712537,0.013440860442288824,-2.6843545600000003e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+24,8192,exponential,mixture,0.0,0.0,0.7749868741888996,0.21162308244518216,0.013390043365918158,1.3421772800000001e-16,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+24,32768,exponential,fixed_ref,0.0,0.0,0.4730231184811492,0.5166673848796766,0.010309496639174374,0.0,1.0000000000000002,1.0922666666666667,0.0,True,True,True,True,True
1e+24,32768,exponential,mixture,1.3421772800000001e-16,0.0,0.47304419289022914,0.5166904037542343,0.010265403355536513,1.3421772800000001e-16,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+24,131072,exponential,fixed_ref,0.0,0.0,0.18509698587124762,0.8087010710705389,0.00620194305821353,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+24,131072,exponential,mixture,0.0,0.0,0.18510194670861807,0.8087227452997331,0.00617530799164908,-1.3421772800000001e-16,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+24,2048,power,fixed_ref,0.0,0.0,0.9191028726874685,0.06274408944213118,0.018153037870400145,1.3421772800000001e-16,0.9999999999999999,0.06826666666666667,0.0,True,True,True,True,True
1e+24,2048,power,mixture,0.0,0.0,0.9192112591376088,0.0627514886237941,0.018037252238597205,-1.3421772800000001e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+24,4096,power,fixed_ref,0.0,0.0,0.8644051341248514,0.11802011431251305,0.017574751562635656,-1.3421772800000001e-16,0.9999999999999999,0.13653333333333334,0.0,True,True,True,True,True
1e+24,4096,power,mixture,0.0,0.0,0.8645112365089523,0.11803460082468896,0.017454162666358655,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+24,8192,power,fixed_ref,0.0,0.0,0.7725048603251911,0.21094532719279882,0.016549812482010106,1.3421772800000001e-16,1.0000000000000002,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
