C,log10_C,cost_form,ell,kappa,Q0,N_B,D_B,Q,h,L_pred,share_train,share_attn,share_quality,share_unused,regime,flag_q_at_lower,flag_q_at_upper,flag_n_at_lower,flag_n_at_upper,budget_residual_rel,N_in_support,D_in_support,functional,omega,candidate,q0_mode
7.943282347242789e+21,21.9,power,131072,0.8047071577351047,0.41663254110330095,0.3544432145657033,563.1459383976129,0.8679567202369285,1.0,1.6908950556841353,0.15077136726322277,0.6587301549975045,0.19049847773927264,0.0,interior,False,False,False,False,0.0,True,True,mixture_l1,0.5,reference_p0,fixed_ref
1e+22,22.0,power,131072,0.8047071577351047,0.41663254110330095,0.39810717055349687,630.2788037207847,0.8938582354119419,1.0,1.6908534107698188,0.15055110672547464,0.6577678220240472,0.19168107125047837,-2.097152e-16,interior,False,False,False,False,-2.097152e-16,True,False,mixture_l1,0.5,reference_p0,fixed_ref
1.2589254117941714e+22,22.1,power,131072,0.8047071577351047,0.41663254110330095,0.44715010115317777,705.5223819363046,0.9205064609343431,1.0,1.6908133243642505,0.15035413607183337,0.6569072441069115,0.19273861982125506,0.0,interior,False,False,False,False,0.0,True,False,mixture_l1,0.5,reference_p0,fixed_ref
1.584893192461111e+22,22.2,power,131072,0.8047071577351047,0.41663254110330095,0.5021113054699547,790.0725018041295,0.9478352818254572,1.0,1.6907747413341343,0.1501821083655839,0.6561556435897937,0.19366224804462237,0.0,interior,False,False,False,False,0.0,True,False,mixture_l1,0.5,reference_p0,fixed_ref
1.995262314968883e+22,22.3,power,131072,0.8047071577351047,0.41663254110330095,0.5636895711632732,885.0727592596456,0.9759038126544524,1.0,1.69073760801362,0.15002727622502468,0.6554791716455478,0.1944935521294277,-2.1021316187517993e-16,interior,False,False,False,False,-2.1021316187517993e-16,True,False,mixture_l1,0.5,reference_p0,fixed_ref
2.511886431509572e+22,22.4,power,131072,0.8047071577351047,0.41663254110330095,0.6297188108531219,999.3437682272024,1.0,1.0,1.6907018754953758,0.15031863577924193,0.6567521409618933,0.19292922325886488,0.0,upper_bound,False,True,False,False,0.0,True,False,mixture_l1,0.5,reference_p0,fixed_ref
3.1622776601683792e+22,22.5,power,131072,0.8047071577351047,0.41663254110330095,0.6857408161740146,1173.81920844793,1.0,1.0,1.6906676384782842,0.15272581889579415,0.6672692844769843,0.1800048966272216,0.0,upper_bound,False,True,False,False,0.0,True,False,mixture_l1,0.5,reference_p0,fixed_ref
3.981071705534985e+22,22.6,power,131072,0.8047071577351047,0.41663254110330095,0.7478479944750402,1375.5905138652336,1.0,1.0,1.690634898569993,0.15504356863244617,0.6773956875930661,0.16756074377448776,0.0,upper_bound,False,True,False,False,0.0,True,False,mixture_l1,0.5,reference_p0,fixed_ref
5.011872336272714e+22,22.7,power,131072,0.8047071577351047,0.41663254110330095,0.8163818359440705,1609.0202875696618,1.0,1.0,1.6906035733794365,0.15725559411366863,0.6870601743888927,0.15568423149743887,-1.673747341744649e-16,upper_bound,False,True,False,False,-1.673747341744649e-16,True,False,mixture_l1,0.5,reference_p0,fixed_ref
6.309573444801943e+22,22.8,power,131072,0.8047071577351047,0.41663254110330095,0.8916340942810095,1879.3704868640332,1.0,1.0,1.690573585924223,0.15934935854536889,0.6962079707752864,0.14444267067934466,0.0,upper_bound,False,True,False,False,0.0,True,False,mixture_l1,0.5,reference_p0,fixed_ref
