id,S_A_equal,S_Aprep_Cweight,S_Cprep_equal,S_C_entropy,S_C_resolved,S_C_entropy_recomputed
BkiUdY45qoYA4xX7Fs7m,0.6719467336333772,0.7792570644132824,0.6604832427425811,0.5010022443484918,0.4706722463858939,0.5010022443484916
BkiUc5025V5ipNhMBkE8,0.5733548016804157,0.5069374675147458,0.5929122011148431,0.5117445014837196,0.44944593065784333,0.5117445014837195
BkiUbmzxK1UJ-rRH-1MD,0.6275879850136029,0.5833341292376193,0.6115112262181494,0.46549167238526046,0.4216930927201736,0.46549167238526046
BkiUbh04uzqh_Kly7RNW,0.6407578779472732,0.6635661471524762,0.6220217466733234,0.46197607076316993,0.4199610119598296,0.4619760707631698
BkiUdK84eIZjvCjkaEGo,0.6048344964884897,0.5072817527672344,0.6184336302551006,0.4739204424627931,0.4280302764054792,0.473920442462793
BkiUbLPxK6-gDw5AtUZ3,0.5618544923040765,0.5008187104176491,0.5690629612104189,0.47325819044994294,0.4061525605673528,0.473258190449943
BkiUd1_xaKgQMdMtQloi,0.6402643125075607,0.7307417415946311,0.6469109330268631,0.4986529283618363,0.4686674582803414,0.49865292836183617
BkiUaafxK1Thg9qFa1Qs,0.664594152990173,0.7681560991938301,0.6346816265885432,0.4871121479047387,0.4531638092806989,0.48711214790473856
BkiUbRw4ubnjorKKr43C,0.6336097074136234,0.7710247364903092,0.6138740123035741,0.43648593891116805,0.39386445097869094,0.43648593891116794
BkiUfgM5qhDCiwNLy3CU,0.7069159898819524,0.808461360921286,0.6388820123721757,0.47244553970138814,0.44038156136877366,0.4724455397013879
BkiUa2nxK4sA-5Y3qUsP,0.626303907005446,0.7624377398465267,0.5649498016404528,0.4253735250326507,0.37119718531017315,0.42537352503265063
BkiUa_U4ubnjoqNEqKRH,0.642042170977101,0.7773361102733143,0.5900228607376216,0.42992051693515443,0.3872455916493625,0.42992051693515426
BkiUdW85qsJBjnJ89-mW,0.6640627550866445,0.7562990873616587,0.6491592057302609,0.4989616304716328,0.47071496510914995,0.49896163047163256
BkiUdlg4eILhQJztnknv,0.6577258067295372,0.7836618395779649,0.6274092096388169,0.44852694561009854,0.40590448352041925,0.44852694561009837
BkiUfQPxK0zjCrsOBupv,0.6545640736098705,0.7943672406116025,0.6169631835918337,0.46763159324345016,0.4329447339935857,0.4676315932434501
BkiUfufxK3YB9i3RN54o,0.6522793331705491,0.7871141593508887,0.6193538877574324,0.45793981042478005,0.41930515774616145,0.45793981042477994
BkiUdX85qdmDH5kXI0R3,0.6672306417453897,0.7956186268287418,0.6223802158023808,0.4597852795011999,0.4216983494080887,0.45978527950119985
BkiUbjE5qoaAwj4XNMHR,0.6475386038150093,0.7001742113395654,0.6004855025079359,0.46901031037924695,0.40861715480205196,0.46901031037924684
BkiUbdM5qsMAIwbUZ5AS,0.6946226637348022,0.8005844289365092,0.6556643989419452,0.47839374521123323,0.4396968894686533,0.4783937452112332
BkiUdTrxK02iP5rWKmQx,0.6896718160441201,0.8227495858381011,0.6538207127091105,0.48662778988640987,0.4545697554155166,0.48662778988640976
BkiUdBQ5qYVBSqkygqvC,0.6708492772875018,0.7463944199860874,0.6339854308313796,0.47655713388268117,0.4385850941606627,0.4765571338826811
BkiUdqk25V5i1dkg3xWc,0.8163897408389743,0.924904827187129,0.7282820999330062,0.58726902373312,0.5668433504896525,0.58726902373312
BkiUbXXxK7Tt6CA5FTG7,0.7129943339964935,0.7877518021334664,0.6602089875191115,0.49177726810452194,0.4571468004826674,0.4917772681045219
BkiUc_Y4c3aisMwilqSJ,0.5707976873448921,0.6483834876598331,0.5462357996610354,0.3863856209258031,0.32753083462012256,0.3863856209258029
BkiUdlE5qoYAo52Vqk4-,0.6728196899665518,0.8065727506686577,0.6410141213534121,0.4782942158913145,0.44649674207668255,0.4782942158913143
BkiUed04eIOjR4Mj-00Z,0.6478263297782724,0.7837043710325808,0.6201856510845791,0.44833246698589624,0.4065035514244055,0.44833246698589607
BkiUdWg5qg5A59MXG8c0,0.6103693925142964,0.7674900546159542,0.5807605577157303,0.42594787915221,0.38603969528551924,0.4259478791522099
BkiUfsA5qhLBrnqN0sQf,0.6297345858939638,0.739946304668633,0.6100383472856548,0.4751399602654225,0.4402636442320194,0.47513996026542243
BkiUbwnxK4sA-7sDdyQM,0.586703704049514,0.5084182830452875,0.6135086004398754,0.5013785884801246,0.45705238287469674,0.5013785884801245
BkiUd9Y4eILhP_ZFB6pa,0.6314359068956816,0.6378583062287676,0.6393719942446201,0.4950351147133694,0.459525525927834,0.4950351147133693
BkiUeTzxK6mkyCfODSv-,0.6462434868322421,0.6245597689788099,0.6450599588547619,0.5096265707667809,0.477731544658872,0.5096265707667808
BkiUfbI25V5jXvdT3FCG,0.5953398543696284,0.7105433598588962,0.6016405298518142,0.48713555243720796,0.43708464861810403,0.48713555243720785
BkiUdhHxaKgQIQzdyQmI,0.7197777963201474,0.7781478525196883,0.7034914427561565,0.5501054846635848,0.5311866630976472,0.5501054846635847
BkiUc-vxK7IDPXIhnLPg,0.6470654568384503,0.7729560454651578,0.5835257264717657,0.43848146645933295,0.3932208643557143,0.43848146645933284
BkiUdfTxK6Ot9UjEBlvA,0.6291375580643321,0.6112928249654141,0.6251304248128751,0.465585854840177,0.42106647973411937,0.4655858548401769
BkiUdG45qX_Bl-uWGa7i,0.7381149671827856,0.8318590511204951,0.6552548567159666,0.48199792809701886,0.44794487508053527,0.4819979280970187
